doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/1359-6454(95)00171-6,The influence of microstructure on the Bauschinger effect in an AlSiMg casting alloy,C.H. Caceres; J.R. Griffiths; P. Reiner,1996,1,44,1,15-23,,journal-article,,https://doi.org/10.1016/1359-6454(95)00171-6
10.1016/1359-6454(95)00167-4,Phase transformation mechanisms involved in two-phase TiAl-based alloys—I. Lambellar structure formation,A. Denquin; S. Naka,1996,1,44,1,343-352,,journal-article,,https://doi.org/10.1016/1359-6454(95)00167-4
10.1016/1359-6454(95)00163-7,Modelling damage of AlZnMg alloys,R. Lebensohn; D. Solas; G. Canova; Y. Brechet,1996,1,44,1,315-325,,journal-article,,https://doi.org/10.1016/1359-6454(95)00163-7
10.1016/1359-6454(95)00156-x,Glass formation in binary and ternary Zr based Fe and Ni bearing alloys,R.T. Savalia; R. Tewari; G.K. Dey; S. Banerjee,1996,1,44,1,57-67,,journal-article,,https://doi.org/10.1016/1359-6454(95)00156-x
10.1016/1359-6454(95)00154-6,Modelling of the dynamic recrystallization of austenite in low alloy and microalloyed steels,S.F. Medina; C.A. Hernandez,1996,1,44,1,165-171,,journal-article,,https://doi.org/10.1016/1359-6454(95)00154-6
10.1016/1359-6454(95)00151-0,General expression of the Zener-Hollomon parameter as a function of the chemical composition of low alloy and microalloyed steels,S.F. Medina; C.A. Hernandez,1996,1,44,1,137-148,,journal-article,,https://doi.org/10.1016/1359-6454(95)00151-0
10.1016/1359-6454(95)00169-8,Mixed mode I/II fracture toughness of 2034 aluminum alloys,S.V. Kamat; J.P. Hirth,1996,1,44,1,201-208,,journal-article,,https://doi.org/10.1016/1359-6454(95)00169-8
10.1016/1359-6454(95)00155-8,Basic configurations of interfacial and junction defects induced in a polycrystal by deformation of grains,A.A. Zisman; V.V. Rybin,1996,1,44,1,403-407,,journal-article,,https://doi.org/10.1016/1359-6454(95)00155-8
10.1016/1359-6454(95)00158-3,Evidence for disordered character of grain boundaries in a Ni3Al-based alloy during reordering,S. Lay; A.Reza Yavari,1996,1,44,1,35-41,,journal-article,,https://doi.org/10.1016/1359-6454(95)00158-3
10.1016/1359-6454(95)00138-8,Elastic and plastic behavior of a co-continuous alumina/aluminum composite,G.S. Daehn; B. Starck; L. Xu; K.F. Elfishawy; J. Ringnalda; H.L. Fraser,1996,1,44,1,249-261,,journal-article,,https://doi.org/10.1016/1359-6454(95)00138-8
10.1016/1359-6454(95)00145-5,Embedded atom computer simulation of lattice distortion and dislocation core structure and mobility in FeCr alloys,D. Farkas; C.G. Schon; M.S.F. De Lima; H. Goldenstein,1996,1,44,1,409-419,,journal-article,,https://doi.org/10.1016/1359-6454(95)00145-5
10.1016/1359-6454(95)00141-8,Superplasticity and the development of dislocation structures in an Al-4.5% Mg alloy,F. Li; W.T. Roberts; P.S. Bate,1996,1,44,1,217-233,,journal-article,,https://doi.org/10.1016/1359-6454(95)00141-8
10.1016/1359-6454(95)00152-2,The influence of chemical composition on peak strain of deformed austenite in low alloy and microalloyed steels,S.F. Medina; C.A. Hernandez,1996,1,44,1,149-154,,journal-article,,https://doi.org/10.1016/1359-6454(95)00152-2
10.1016/1359-6454(95)00142-x,Computer simulation of grain boundary spatial distribution in a three-dimensional polycrystal with cubic structure,D. Romero; L. Martinez; L. Fionova,1996,1,44,1,391-402,,journal-article,,https://doi.org/10.1016/1359-6454(95)00142-x
10.1016/1359-6454(95)00172-8,Damage by the cracking of silicon particles in an Al-7Si-0.4Mg casting alloy,C.H. Caceres; J.R. Griffiths,1996,1,44,1,25-33,,journal-article,,https://doi.org/10.1016/1359-6454(95)00172-8
