doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1002/advs.201700084,"Facile and Scalable Synthesis of Robust Ni(OH)
                    <sub>2</sub>
                    Nanoplate Arrays on NiAl Foil as Hierarchical Active Scaffold for Highly Efficient Overall Water Splitting",Shuai Niu; Wen‐Jie Jiang; Tang Tang; Yun Zhang; Ji‐Hui Li; Jin‐Song Hu,2017,4,4,8,,1700084,journal-article,,https://doi.org/10.1002/advs.201700084
10.1002/advs.201700782,NIR‐Triggered Crystal Phase Transformation of NiTi‐Layered Double Hydroxides Films for Localized Chemothermal Tumor Therapy,Donghui Wang; Naijian Ge; Tingting Yang; Feng Peng; Yuqin Qiao; Qianwen Li; Xuanyong Liu,2018,2,5,4,,1700782,journal-article,,https://doi.org/10.1002/advs.201700782
10.1002/advs.201903777,Core–Shell Structured NiFeSn@NiFe (Oxy)Hydroxide Nanospheres from an Electrochemical Strategy for Electrocatalytic Oxygen Evolution Reaction,Mingxing Chen; Shenglin Lu; Xian‐Zhu Fu; Jing‐Li Luo,2020,3,7,10,,1903777,journal-article,,https://doi.org/10.1002/advs.201903777
10.1002/advs.202070052,Oxygen Evolution Reaction: Core–Shell Structured NiFeSn@NiFe (Oxy)Hydroxide Nanospheres from an Electrochemical Strategy for Electrocatalytic Oxygen Evolution Reaction (Adv. Sci. 10/2020),Mingxing Chen; Shenglin Lu; Xian‐Zhu Fu; Jing‐Li Luo,2020,5,7,10,,2070052,journal-article,,https://doi.org/10.1002/advs.202070052
10.1002/advs.202002658,Growth of NiAl‐Layered Double Hydroxide on Graphene toward Excellent Anticorrosive Microwave Absorption Application,Xuefei Xu; Shaohua Shi; Yulin Tang; Guizhen Wang; Maofan Zhou; Guoqing Zhao; Xuechun Zhou; Shiwei Lin; Fanbin Meng,2021,1,8,5,,2002658,journal-article,,https://doi.org/10.1002/advs.202002658
10.1002/advs.202105925,3D Spatial Combination of CN Vacancy‐Mediated NiFe‐PBA with N‐Doped Carbon Nanofibers Network Toward Free‐Standing Bifunctional Electrode for Zn–Air Batteries,Chenglong Lai; Haomiao Li; Yi Sheng; Min Zhou; Wei Wang; Mingxing Gong; Kangli Wang; Kai Jiang,2022,2,9,11,,2105925,journal-article,,https://doi.org/10.1002/advs.202105925
10.1002/advs.202106029,Robust Porous WC‐Based Self‐Supported Ceramic Electrodes for High Current Density Hydrogen Evolution Reaction,Feihong Wang; Yutong Wu; Binbin Dong; Kai Lv; Yangyang Shi; Nianwang Ke; Luyuan Hao; Liangjun Yin; Yu Bai; Xin Xu; Yuxi Xian; Simeon Agathopoulos,2022,3,9,15,,2106029,journal-article,,https://doi.org/10.1002/advs.202106029
10.1002/advs.202203139,Native Oxidation and Complex Magnetic Anisotropy‐Dominated Soft Magnetic CoCrFeNi‐Based High‐Entropy Alloy Thin Films,Junyi Zhang; Xiao Wang; Xiaona Li; Yuehong Zheng; Renwei Liu; Junhua Luan; Zengbao Jiao; Chuang Dong; Peter K. Liaw,2022,10,9,33,,2203139,journal-article,,https://doi.org/10.1002/advs.202203139
10.1002/advs.202206772,High‐Throughput Design of Magnetocaloric Materials for Energy Applications: MM´X alloys,Nuno M. Fortunato; Andreas Taubel; Alberto Marmodoro; Lukas Pfeuffer; Ingo Ophale; Hebert Ebert; Oliver Gutfleisch; Hongbin Zhang,2023,4,10,17,,2206772,journal-article,,https://doi.org/10.1002/advs.202206772
10.1002/advs.202401667,Dynamic Reconfiguration and Local Polarization of NiFe‐Layered Double Hydroxide‐Bi<sub>2</sub>MoO<sub>6−</sub><i><sub>x</sub></i> Heterojunction for Enhancing Piezo‐Photocatalytic Nitrogen Oxidation to Nitric Acid,Xiaoxu Deng; Peng Chen; Ruirui Cui; Xingyong Gong; Yubo Wu; Xu Wang; Chaoyong Deng,2024,4,11,25,,2401667,journal-article,,https://doi.org/10.1002/advs.202401667
10.1002/advs.202401780,Interfacial Electronic Interactions Between Ultrathin NiFe‐MOF Nanosheets and Ir Nanoparticles Heterojunctions Leading to Efficient Overall Water Splitting,Cong Li; Wei Zhang; Yongyong Cao; Jun‐Yang Ji; Zhao‐Chen Li; Xu Han; Hongwei Gu; Pierre Braunstein; Jian‐Ping Lang,2024,4,11,28,,2401780,journal-article,,https://doi.org/10.1002/advs.202401780
