doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.fusengdes.2019.111423,Corrigendum to “Microstructural characterization and strengthening mechanisms of a 15Cr-ODS steel produced by mechanical alloying and Spark Plasma Sintering” [Fusion Eng. Des. 137 (December) (2018) 71–78],Weijuan Li; Haijian Xu; Xiaochun Sha; Jingsong Meng; Wenzhong Wang; Chao Kang; Ximin Zhang; Zhaodong Wang,2020,1,150,,111423,111423,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111423
10.1016/j.fusengdes.2019.111378,Fibre Bragg grating sensors for fusion diagnostics: Temperature monitoring of a tungsten mono-block mock-up under high heat flux,Xingli Wang; Zhen Chen; Wanjing Wang; Yuping Xu; Qiang Li; Chunyi Xie; Jichao Wang; Zhongshi Yang; Guang-Nan Luo,2020,1,150,,111378,111378,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111378
10.1016/j.fusengdes.2019.111365,Deuterium inventory determination in beryllium and mixed beryllium-carbon layers doped with oxygen,V. Nemanič; M. Žumer; C. Porosnicu; B. Butoi; E. Alves; R. Mateus,2020,1,150,,111365,111365,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111365
10.1016/j.fusengdes.2019.111259,Integration of the TESPEL injection system at W7-X,Ralph Laube; Rene Bussiahn; Naoki Tamura; Kieran J. McCarthy,2020,1,150,,111259,111259,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111259
10.1016/j.fusengdes.2019.111374,Thermofluid MHD studies in a model of Indian LLCB TBM at high magnetic field relevant to ITER,P.K. Swain; Pratik Koli; S. Ghorui; P. Mukherjee; A.V. Deshpande,2020,1,150,,111374,111374,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111374
10.1016/j.fusengdes.2019.111359,Analysis of whipping effect on high energy pipe in a nuclear power plant,Xiangyu Luo; Shaojie Wang; Jun Wang; Pengfei Wang; Yucheng Wang; Wensheng Zhao,2020,1,150,,111359,111359,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111359
10.1016/j.fusengdes.2019.111362,Optimizing the Plasma startup through ECR plasma pre-ionization in Taban Tokamak via Triple Langmuir probe,H.R. Mirzaei; R. Amrollahi; M. Ghasemi,2020,1,150,,111362,111362,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111362
10.1016/j.fusengdes.2019.111415,Integrated infrared and visible tangential wide-angle viewing systems for surface temperature measurement and discharge monitoring in EAST,M.W. Chen; X.F. Yang; X.Z. Gong; K.F. Gan; B. Zhang; Z.D. Yang,2020,1,150,,111415,111415,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111415
10.1016/j.fusengdes.2019.111361,"Optimal fractional-order PID control for plasma shape, position, and current in Tokamaks",Meena E. Girgis; Rania A. Fahmy; Ragia I. Badr,2020,1,150,,111361,111361,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111361
10.1016/j.fusengdes.2019.111368,Current State of DIII-D Plasma Control System,M. Margo; B. Penaflor; H. Shen; J. Ferron; D. Piglowski; P. Nguyen; J. Rauch; M. Clement; A. Battey; C. Rea,2020,1,150,,111368,111368,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111368
10.1016/j.fusengdes.2019.111369,An improved substructuring approach for dynamic modelling – The example of the ITER vacuum vessel,Fabrizio Di Martino; Tyge Schioler; Giulio Sannazzaro; Donato Aquaro; Rosa Lo Frano,2020,1,150,,111369,111369,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111369
10.1016/j.fusengdes.2019.111377,Nuclear safety issues for fusion power plants,Matthew Lukacs; Laurence G. Williams,2020,1,150,,111377,111377,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111377
10.1016/j.fusengdes.2019.111372,Thermal-hydraulics and structural analyses of LLCB TBM set,Deepak Sharma; S. Ranjithkumar; Paritosh Chaudhuri; E. Rajendra Kumar,2020,1,150,,111372,111372,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111372
10.1016/j.fusengdes.2019.111358,Simulation of hot VDE disruption in EAST by using the TSC code,Qinglai Qiu; Y. Guo; Xiang Gao; Jianjun Huang; Huibin Sun; Jiangang Li; Bingjia Xiao; Dalong Chen; Zhengping Luo,2020,1,150,,111358,111358,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111358
10.1016/j.fusengdes.2019.111370,Displacement damage study in tungsten and iron for fusion neutron irradiation,Mayank Rajput; P.V. Subhash; R. Srinivasan,2020,1,150,,111370,111370,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111370
10.1016/j.fusengdes.2019.111419,Improved design and experimental research on cryostat pressure suppression system of EAST,Jing Pan; Weiwei Xu; Weibin Xi; Haisheng Zhu; Jipeng Fan; Xufeng Liu; Xiao Yu; Zheng Liu; Kun Lu; Jing Wei; Yuntao Song; Songtao Wu,2020,1,150,,111419,111419,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111419
10.1016/j.fusengdes.2019.111366,Plasma start-up design for initial discharges in HL-2M,J.X. Li; X.M. Song; J.H. Zhang; G.Y. Zheng; W. Pan; L. Xue; S. Wang; B. Li; X. Song; R. Mao; Y.D. Pan,2020,1,150,,111366,111366,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111366
10.1016/j.fusengdes.2019.111332,Effect of heat treatment on physical properties of tungsten coating obtained by pulse electrodeposition,Fan Jiang; Junpeng Xue; Yingyi Chen; Yingchun Zhang,2020,1,150,,111332,111332,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111332
10.1016/j.fusengdes.2019.111367,Design of high-power wideband polarizer for electron cyclotron resonance heating systems on CFETR,Feng Zhang; Mei Huang; He Wang; Gangyu Chen,2020,1,150,,111367,111367,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111367
10.1016/j.fusengdes.2019.111407,"Ratcheting and fatigue behavior of Eurofer97 at high temperature, part 1: Experiment",Kuo Zhang; Mario Walter; Jarir Aktaa,2020,1,150,,111407,111407,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.111407
10.1016/j.fusengdes.2019.01.085,Review of the JET ILA scattering-matrix arc detection system,P. Dumortier; E. Lerche; F. Durodié; T. Blackman; W. Helou; I. Monakhov; C. Noble,2020,1,150,,110669,110669,journal-article,,https://doi.org/10.1016/j.fusengdes.2019.01.085
