doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/s0920-3796(84)80013-7,Smile—A computer program for evaluating the lifetime of fusion reactor structural components,R MATERA; C PONTI; R VANHEUSDEN; M BIGGIO; A PERFUMO,1984,,1,,127-136,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80013-7
10.1016/s0920-3796(84)80027-7,Comparison of lifetime calculation for fusion reactor first walls based on two creep-fatigue design criteria,A ADEGBULUGBE,1984,,1,,301-305,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80027-7
10.1016/s0920-3796(84)80016-2,Properties of Cr-Mn austenitic stainless steels for fusion reactor applications,P FENICI; D BOERMAN; V COEN; E LANG; C PONTI; W SCHULE,1984,,1,,167-183,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80016-2
10.1016/s0920-3796(84)80026-5,An aluminum vacuum vessel for a low radioactivity fusion device in near future D-T experiment,K IOKI; A KAMEARI; M YAMADA; M NISHIKAWA; Y HAMADA; K TOI; Y OGAWA; S KITAGAWA; K MATSUOKA; K YAMAZAKI,1984,,1,,287-300,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80026-5
10.1016/s0920-3796(84)80014-9,High purity aluminium alloys for experimental fusion reactors,G PIATTI; P FIORINI; P SCHILLER,1984,,1,,137-158,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80014-9
10.1016/s0920-3796(84)80020-4,"Compatibility of structural materials with liquid breeders — A review of recent work carried out at JRC, Ispra",V COEN; P FENICI,1984,,1,,215-229,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80020-4
10.1016/s0920-3796(84)80015-0,Tritium recovery from liquid LiPb alloy blanket material,G PIERINI; A POLCARO; P RICCI; A VIOLA,1984,,1,,159-165,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80015-0
10.1016/s0920-3796(84)80008-3,Thermal-hydraulic and thermo-structural analyses of the starfire/demo tritium-breeding blanket,Y LIU; S MAJUMDAR; B MISRA; R BURK; G MORGAN,1984,,1,,73-95,,journal-article,,https://doi.org/10.1016/s0920-3796(84)80008-3
10.1016/s0920-3796(85)80059-4,Time independent tensile behaviour of a high manganese steel selected as a candidate material in conceptual tokamak fusion reactor designs,G PIATTI; S MATTEAZZI; G PETRONE,1985,,2,,391-406,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80059-4
10.1016/s0920-3796(85)80096-x,Ductility of thin sheet tensile specimens for irradiation experiments,D RICKERBY; P FENICI,1985,,3,,423-424,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80096-x
10.1016/s0920-3796(85)80078-8,Mechanical design assessments of structural components and auxiliaries of the Joint European Torus,L SONNERUP,1985,,3,,233-247,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80078-8
10.1016/s0920-3796(85)80093-4,"Configurational aspects and structural problems of systems integration, maintenance, containment and shielding for next-generation tokamaks (INTOR and NET)",F FARFALETTICASALI,1985,,3,,385-397,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80093-4
10.1016/s0920-3796(85)80041-7,Methods for forecasting performance limits of fusion reactor structural materials,G LUCAS; G ODETTE,1985,,2,,145-173,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80041-7
10.1016/s0920-3796(85)80066-1,Reduction of the cyclic stress fatigue due to the over-turning force on the toroidal field coils by quasi-steady operation in a tokamak fusion reactor,S NISHIO; M SUGIHARA,1985,,3,,59-62,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80066-1
10.1016/s0920-3796(85)80039-9,Development of design equations for ferritic alloys in fusion reactors,R AMODEO; N GHONIEM,1985,,2,,97-110,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80039-9
10.1016/s0920-3796(85)80035-1,Inelastic structural analysis of the MARS tandem mirror reactor,J BLANCHARD; N GHONIEM,1985,,2,,19-27,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80035-1
10.1016/s0920-3796(85)80036-3,High temperature thermal creep of materials under non-stationary stress and/or temperature loading conditions,M BOCEK; M HOFFMANN,1985,,2,,29-52,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80036-3
10.1016/s0920-3796(85)80037-5,Nonlinear and dynamic fracture of cracked structures under electromagnetic force,G YAGAWA; S YOSHIMURA,1985,,2,,53-63,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80037-5
10.1016/s0920-3796(85)80038-7,Helium effects on the creep and fatigue resistance of austenitic stainless steels at high temperatures,H SCHROEDER; W KESTERNICH; H ULLMAIER,1985,,2,,65-95,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80038-7
10.1016/s0920-3796(85)80055-7,Radiation hazards due to activated corrosion and neutron sputtering products in fusion reactor coolant and tritium breeding fluids,A KLEIN; W VOGELSANG,1985,,2,,355-363,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80055-7
10.1016/s0920-3796(85)80081-8,The fracture of austenitic and martensitic steel in liquid lithium,H BORGSTEDT; M GRUNDMANN,1985,,3,,273-286,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80081-8
10.1016/s0920-3796(85)80060-0,Miniature tensile test specimens for fusion reactor irradiation studies,R KLUEH,1985,,2,,407-416,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80060-0
10.1016/s0920-3796(85)80058-2,The development of ferritic steels for fast induced-radioactivity decay for fusion reactor applications,R KLUEH; E BLOOM,1985,,2,,383-389,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80058-2
10.1016/s0920-3796(85)80053-3,"A comparison of pulsed and steady-state tokamak reactor burn cycles. Part II: Magnet fatigue, power supplies, and cost analysis",D EHST; J BROOKS; K EVANSJR; S KIM,1985,,2,,319-336,,journal-article,,https://doi.org/10.1016/s0920-3796(85)80053-3
10.1016/s0920-3796(86)80007-2,Residual stresses in bonded armor tiles for in-vessel fusion components,J BLANCHARD; R WATSON,1986,10,4,1,61-66,,journal-article,,https://doi.org/10.1016/s0920-3796(86)80007-2
10.1016/s0920-3796(86)80002-3,Application of structural-mechanics methods to the design of large tandem-mirror fusion devices (MFTF-B),V KARPENKO; D NG,1986,10,4,1,1-10,,journal-article,,https://doi.org/10.1016/s0920-3796(86)80002-3
10.1016/s0920-3796(86)80006-0,Thermal fatigue tests of a prototype beryllium limiter for jet,R WATSON; J WHITLEY,1986,10,4,1,49-60,,journal-article,,https://doi.org/10.1016/s0920-3796(86)80006-0
10.1016/s0920-3796(87)90093-7,Thermal shock tests of tungsten by H+-beam bombardment,M. Shibui; J. Ohmori; Y. Sawada; T. Kuroda; O. Kaneko; K. Sakurai; Y. Oka,1987,1,5,2,197-203,,journal-article,,https://doi.org/10.1016/s0920-3796(87)90093-7
10.1016/s0920-3796(87)90102-5,A thermal cycling durability test of tungsten copper duplex structures for use as a divertor plate,M. Seki; M. Ogawa; A. Minato; K. Fukaya; T. Tone; N. Miki,1987,1,5,2,205-213,,journal-article,,https://doi.org/10.1016/s0920-3796(87)90102-5
10.1016/s0920-3796(87)90157-8,The impact of D—3He fusion reactors on waste disposal,W.F. Vogelsang; H.Y. Khater,1987,1,5,4,367-377,,journal-article,,https://doi.org/10.1016/s0920-3796(87)90157-8
10.1016/s0920-3796(87)90121-9,Conditioning and handling of tritiated wastes at Canadian nuclear power facilities,L.S. Krochmalnek; J.P. Krasznai; M. Carney,1987,1,5,4,337-342,,journal-article,,https://doi.org/10.1016/s0920-3796(87)90121-9
10.1016/s0920-3796(87)80008-x,Development of low activation al alloys for the R-project,K KAMADA,1987,3,4,3-4,363-373,,journal-article,,https://doi.org/10.1016/s0920-3796(87)80008-x
10.1016/s0920-3796(88)80096-6,Thermal and structural design issues of breeding blankets for testing in the Next European Torus (NET),G. Casini,1988,1,6,,95-107,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80096-6
10.1016/s0920-3796(88)80017-6,Unite element slip analysis of multi layer beam plate based on a composite theory,T. Takagi; K. Miya; Y. Takeuchi; J. Tani,1988,1,7,,255-267,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80017-6
10.1016/s0920-3796(88)80026-7,Fusion nuclear systems design and analysis,Yoshiaki Oka; Kazuo Furuta; Shunsuke Kondo,1988,1,7,,369-376,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80026-7
10.1016/s0920-3796(88)80025-5,Development of tritium processing material — A U-Zr alloy as a promising tritium storage material,T. Yamamoto; T. Yoneoka; S. Kokubo; M. Yamawaki,1988,1,7,,363-367,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80025-5
10.1016/s0920-3796(88)80018-8,Dynamic fracture mechanics under electromagnetic force,G. Yagawa; S. Yoshimura; Y. Akahoshi,1988,,7,,269-279,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80018-8
10.1016/s0920-3796(88)80103-0,The influence of liquid Pb17Li eutectic on the mechanical properties of structural materials,H.U. Borgstedt; M. Grundmann,1988,1,6,,155-158,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80103-0
10.1016/s0920-3796(88)80092-9,"Modeling, analysis and experiments for fusion nuclear technology",M.A. Abdou; A.H. Hadid; A.R. Raffray; M.S. Tillack; T. Iizuka; P.J. Gierszewski; R.J. Puigh; D.K. Sze; B. Picologlou,1988,1,6,,3-64,,journal-article,,https://doi.org/10.1016/s0920-3796(88)80092-9
10.1016/s0920-3796(89)80091-2,Plans for experimental support of the otr project in nuclear technology,V.V. Orlov; G.E. Shatalov; P.V. Romanov; A.B. Antipenkov; A.M. Epinatiev; A.M. Sidorov; Yu.S. Strebkov; L.V. Tocheniy; V.A. Belyakov; N.A. Monoszon; D.V. Efremov; A.S. Nikiforov; Z.V. Ershova; S.S. Yakunin; A.A. Bochvar,1989,1,8,,91-97,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80091-2
10.1016/s0920-3796(89)80133-4,Recent experimental results of the rates of hydrogen permeation through metallic materials in the presence of liquid pb17li alloy: Influence on the performance and design of tritium recovery equipment,A. Viola; P.L. Lolli-Ceroni; G. Pierini,1989,1,8,,365-370,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80133-4
10.1016/s0920-3796(89)80020-1,Influence of microstructural change caused by cyclic strain on the low cycle fatigue strength of sintered molybdenum,Hiroshi Nishi; Tatsuo Oku; Tsuneo Kodaira,1989,1,9,,117-121,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80020-1
10.1016/s0920-3796(89)80035-3,Effect of impurity content in stainless steel on resolidified surface condition after disruption load,Haruki Madarame; Toshio Sukegawa; Hideharu Yanagi; Kenzo Miya; Tsutomu Kuroda; Tadao Ogawa,1989,,9,,207-211,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80035-3
10.1016/s0920-3796(89)80068-7,Thermal-hydraulic and structural design for the lithium-cooled TITAN-I reversed-feeld-pinch reactor,M.Z. Hasan; J.P. Blanchard; N.M. Ghoniem,1989,1,9,,425-430,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80068-7
10.1016/s0920-3796(89)80003-1,Divertor and first wall armor design for the TIBER-II engineering test reactor,K.R. Schultz; R. Gallix; C. Baxi; R. Bourque; L. Creedon; D. Vance; W. Barr; W. Neef; J. Haines; J.A. Koshi; R. McGrath; R. Causey; G. Listvinsky; C. Carson,1989,1,9,,9-13,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80003-1
10.1016/s0920-3796(89)80007-9,On the generation of runaway electrons and their impact to plasma facing components,Takaichi Kawamura; Haruo Obayashi; Akira Miyahara,1989,1,9,,39-44,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80007-9
10.1016/s0920-3796(89)80089-4,Overview of the united states national fusion nuclear technology effort,Gregory M. Haas; Sam E. Berk,1989,1,8,,77-83,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80089-4
10.1016/s0920-3796(89)80135-8,Relationship between fabrication parameters and structural characteristics of sintered lithium orthosilicate,C.Y. Chu; K. Bär; J.P. Singh; R.B. Poeppel; M.C. Billone,1989,1,8,,375-378,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80135-8
10.1016/s0920-3796(89)80047-x,Development and heat load experiments of graphite brazed to stainless steel for the first wall structure of FER,K. Ioki; M. Nayama; S. Tsujimura; M. Seki; T. Horie,1989,1,9,,283-287,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80047-x
10.1016/0920-3796(89)90038-0,An intense DT neutron source and test conditions for fusion nuclear technology research,Yukio Oyama; Seiya Yamaguchi; Chikara Konno,1989,1,10,,103-107,,journal-article,,https://doi.org/10.1016/0920-3796(89)90038-0
10.1016/s0920-3796(89)80045-6,A thermal cycling test of tungsten copper bonds for divertor collector plates,M. Ogawa; M. Seki; K. Fukaya; T. Horie; T. Araki,1989,1,9,,271-276,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80045-6
10.1016/s0920-3796(89)80046-8,Thermal fatigue tests of a W-Cu duplex structure for a divertor application,K. Kitamura; Y. Shibutani; M. Shibui; K. Nagata; T. Araki; Y. Sawada; M. Seki; T. Horie,1989,1,9,,277-282,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80046-8
10.1016/s0920-3796(89)80054-7,Lithium corrosion/mass transfer test facility,D.L. Smith; O.K. Chopra; A.B. Hull,1989,1,9,,333-338,,journal-article,,https://doi.org/10.1016/s0920-3796(89)80054-7
