doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.13182/fst83-1,Gamma Radiation Effects on Tritium Permeation Through Stainless Steel,G.R. Longhurst,1983,,,,,,journal-article,,https://doi.org/10.13182/fst83-1
10.13182/fst84-1,Experimental Results from Hydrogen/Deuterium Distillations at the Tritium Systems Test Assembly,,1984,,,,,,journal-article,,https://doi.org/10.13182/fst84-1
10.13182/fst85-1,Interaction of Hydrogen Isotopes with Stainless Steel 316 L,F. Reiter,1985,,,,,,journal-article,,https://doi.org/10.13182/fst85-1
10.13182/fst86-2,A Zirconium-Cobalt Compound as the Material for a Reversible Tritium Getter,,1986,,,,,,journal-article,,https://doi.org/10.13182/fst86-2
10.13182/fst86-1,Deuterium-Tritium Fuel Self-Sufficiency in Fusion Reactors,M.A. Abdou,1986,,,,,,journal-article,,https://doi.org/10.13182/fst86-1
10.13182/fst88-3,FLOSHEET - A Computer Program for Simulating Hydrogen Isotope Separation Systems,,1988,,,,,,journal-article,,https://doi.org/10.13182/fst88-3
10.13182/fst88-2,"On the Synthesis, Selfradiolysis, and Catalytic Decomposition of Tritiated Ammonia and Methane",M. Glugla,1988,,,,,,journal-article,,https://doi.org/10.13182/fst88-2
10.13182/fst88-4,Solid-State Nuclear Detectors for Monitoring Low Levels of Tritium,,1988,,,,,,journal-article,,https://doi.org/10.13182/fst88-4
10.13182/fst14-1141,"Regrowth, Retention and Evolution of Tritium from Stainless Steel",R.A. Surette,1988,9,14,2P2B,1141-1146,,journal-article,,https://doi.org/10.13182/fst14-1141
10.13182/fst91-2,Grazing Incidence Metal Mirrors as the Final Elements in a Laser Driver for Inertial Confinement Fusion,,1991,,,,,,journal-article,,https://doi.org/10.13182/fst91-2
10.13182/fst91-1,HYLIFE-II Inertial Confinement Fusion Reactor Design,R.W. Moir,1991,,,,,,journal-article,,https://doi.org/10.13182/fst91-1
10.13182/fst92-9,Deuterium Transport and Trapping in Polycrystalline Tungsten,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-9
10.13182/fst92-7,Simulation of Hydrogen Isotope Separation by Cryogenic Distillation,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-7
10.13182/fst92-11,Tritium Permeation and Related Studies on Barrier Treated 316 Stainless Steel,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-11
10.13182/fst92-4,Sorption and Desorption of Tritiated Water on Paints,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-4
10.13182/fst92-2,On-line Tritium Process Gas Analysis by Laser Raman Spectroscopy at TSTA,S. Ohira,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-2
10.13182/fst92-3,Overview of the Osiris IFE Reactor Conceptual Design,R.F. Bourque,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-3
10.13182/fst92-6,Aging Effects in Palladium and LaNi4.25Al0.75 Tritides,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-6
10.13182/fst92-5,Stress Analysis of Hydride Bed Vessels Used for Tritium Storage,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-5
10.13182/fst92-10,Tritium Measurement and Monitoring in Experimental and Process Systems with Ionization Chambers,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-10
10.13182/fst92-12,Laser Raman Spectroscopy and Omegatron Mass Spectrometry Applied to Investigations of the Radiochemical Reactions Between Methane and Tritium,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-12
10.13182/fst92-1,A KrF Laser Driven Inertial Fusion Reactor “SOMBRERO”,I.N. Sviatoslavsky,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-1
10.13182/fst92-8,Tritium Stripping by a Catalytic Exchange Stripper,,1992,,,,,,journal-article,,https://doi.org/10.13182/fst92-8
10.13182/fst94-2,Similarites and Differences Between Single-Side and Uniform Heating for Fusion Applications-I: Uniform Heat Flux,R.D. Boyd,1994,,,,,,journal-article,,https://doi.org/10.13182/fst94-2
10.13182/fst94-1,HYLIFE-II: A Molten-Salt Inertial Fusion Energy Power Plant Design — Final Report,R.W. Moir,1994,,,,,,journal-article,,https://doi.org/10.13182/fst94-1
10.13182/fst95-1,Hydrogen Permeability of Austenitic Steels Proposed for Fusion Reactor First Wall,V. V. Fedorov,1995,,,,,,journal-article,,https://doi.org/10.13182/fst95-1
10.13182/fst95-4,Hydrogen Sorption Rate by Intermetallic Compounds Suitable for Tritium Storage,,1995,,,,,,journal-article,,https://doi.org/10.13182/fst95-4
10.13182/fst95-5,Operational Problems with Uranium Pots Due to Helium Blanketing,,1995,,,,,,journal-article,,https://doi.org/10.13182/fst95-5
