doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.jnucmat.2012.07.017,Vacuum annealing enhances the properties of a tungsten coating deposited on copper by atmospheric plasma spray,Huang Jianjun; Li Xinjun; Chen Jun; Liu Ying; Qi Bing; Jiang Shishou; Wang Xisheng; Luo Guangnan,2013,1,432,1-3,16-19,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.017
10.1016/j.jnucmat.2012.08.017,Characterizing microstructural changes in ferritic steels by positron annihilation spectroscopy: Studies on modified 9Cr–1Mo steel,S. Hari Babu; K.V. Rajkumar; S. Hussain; G. Amarendra; C.S. Sundar; T. Jayakumar,2013,1,432,1-3,266-273,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.017
10.1016/j.jnucmat.2012.08.002,Experimental kinetic study of oxidation of uranium monocarbide powders under controlled oxygen partial pressures below 230°C,C. Berthinier; C. Rado; O. Dugne; M. Cabie; C. Chatillon; R. Boichot; E. Blanquet,2013,1,432,1-3,505-519,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.002
10.1016/j.jnucmat.2012.08.023,Oxidation of Zircaloy-2 studied using a wedge-shaped specimen,Bevis Hutchinson; Lars Hallstadius,2013,1,432,1-3,437-443,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.023
10.1016/j.jnucmat.2012.08.018,Recent progress in research on tungsten materials for nuclear fusion applications in Europe,M. Rieth; S.L. Dudarev; S.M. Gonzalez de Vicente; J. Aktaa; T. Ahlgren; S. Antusch; D.E.J. Armstrong; M. Balden; N. Baluc; M.-F. Barthe; W.W. Basuki; M. Battabyal; C.S. Becquart; D. Blagoeva; H. Boldyryeva; J. Brinkmann; M. Celino; L. Ciupinski; J.B. Correia; A. De Backer; C. Domain; E. Gaganidze; C. García-Rosales; J. Gibson; M.R. Gilbert; S. Giusepponi; B. Gludovatz; H. Greuner; K. Heinola; T. Höschen; A. Hoffmann; N. Holstein; F. Koch; W. Krauss; H. Li; S. Lindig; J. Linke; Ch. Linsmeier; P. López-Ruiz; H. Maier; J. Matejicek; T.P. Mishra; M. Muhammed; A. Muñoz; M. Muzyk; K. Nordlund; D. Nguyen-Manh; J. Opschoor; N. Ordás; T. Palacios; G. Pintsuk; R. Pippan; J. Reiser; J. Riesch; S.G. Roberts; L. Romaner; M. Rosiński; M. Sanchez; W. Schulmeyer; H. Traxler; A. Ureña; J.G. van der Laan; L. Veleva; S. Wahlberg; M. Walter; T. Weber; T. Weitkamp; S. Wurster; M.A. Yar; J.H. You; A. Zivelonghi,2013,1,432,1-3,482-500,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.018
10.1016/j.jnucmat.2012.08.025,Corrigendum to “Characterizations of mortar-degraded spinney waste composite nominated as solidifying agent for radwastes due to immersion processes” J. Nucl. Mater. 430 (2012) 106–113,H.M. Saleh; S.B. Eskander,2013,1,432,1-3,549,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.025
10.1016/j.jnucmat.2012.07.047,Selection and properties of alternative forming fluids for TRISO fuel kernel production,M.P. Baker; J.C. King; B.P. Gorman; D.W. Marshall,2013,1,432,1-3,395-406,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.047
10.1016/j.jnucmat.2012.07.043,Corrigendum to: ‘Analytical determination of thermal conductivity of W–UO2 and W–UN CERMET nuclear fuels’ [J. Nucl. Mater. 427 (2012) 87–94],Jonathan A. Webb; Indrajit Charit,2013,1,432,1-3,548,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.043
10.1016/j.jnucmat.2012.07.028,Reducing fuel-cladding chemical interaction: The effect of palladium on the reactivity of neodymium on iron in diffusion couples,G.W. Egeland; R.D. Mariani; T. Hartmann; D.L. Porter; S.L. Hayes; J.R. Kennedy,2013,1,432,1-3,539-544,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.028
10.1016/j.jnucmat.2012.08.012,Formation of diffusion barrier coating on superalloy 690 substrate and its stability in borosilicate melt at elevated temperature,R.S. Dutta; C. Yusufali; B. Paul; S. Majumdar; P. Sengupta; R.K. Mishra; C.P. Kaushik; R.J. Kshirsagar; U.D. Kulkarni; G.K. Dey,2013,1,432,1-3,72-77,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.012
10.1016/j.jnucmat.2012.07.024,Analysis of hardening limits of oxide dispersion strengthened steel,A. Ramar; R. Schäublin,2013,1,432,1-3,323-333,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.024
10.1016/j.jnucmat.2012.08.010,Effect of water adsorption on tritium release from Li4SiO4,Chunmei Kang; Chengjian Xiao; Xiaolin Wang; Yuhui He; Jun Liu; Xiaojun Chen; Shuming Peng; Heyi Wang,2013,1,432,1-3,455-459,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.010
10.1016/j.jnucmat.2012.08.046,Nanostructured rhodium films for advanced mirrors produced by Pulsed Laser Deposition,A. Uccello; D. Dellasega; S. Perissinotto; N. Lecis; M. Passoni,2013,1,432,1-3,261-265,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.08.046
10.1016/j.jnucmat.2012.07.050,Sintering of oxide nuclear fuel: Plastic flow mechanism,V.G. Baranov; Yu.N. Devyatko; A.V. Tenishev; A.V. Khlunov; O.V. Khomyakov,2013,1,432,1-3,52-56,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.050
10.1016/j.jnucmat.2012.07.032,Environmentally assisted cracking behavior of dissimilar metal weldments in simulated BWR coolant environments,J.Y. Huang; M.F. Chiang; S.L. Jeng; J.S. Huang; R.C. Kuo,2013,1,432,1-3,189-197,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.032
10.1016/j.jnucmat.2012.07.035,Variable energy positron beam study of Xe-implanted uranium oxide,Nikolay Djourelov; Benoît Marchand; Hristo Marinov; Nathalie Moncoffre; Yves Pipon; Patrick Nédélec; Nelly Toulhoat; Daniel Sillou,2013,1,432,1-3,287-293,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.035
10.1016/j.jnucmat.2012.07.041,Studies on disintegrating spherical fuel elements of high temperature gas-cooled reactor by a electrochemical method,Lifang Tian; Mingfen Wen; Jing Chen,2013,1,432,1-3,113-119,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.041
10.1016/j.jnucmat.2012.07.023,Interatomic potentials for simulation of He bubble formation in W,N. Juslin; B.D. Wirth,2013,1,432,1-3,61-66,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.023
10.1016/j.jnucmat.2012.07.033,The role of Pd in the transport of Ag in SiC,E.J. Olivier; J.H. Neethling,2013,1,432,1-3,252-260,,journal-article,,https://doi.org/10.1016/j.jnucmat.2012.07.033
