doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/0022-3115(59)90007-8,Etude des alliages aluminium-uranium application a la transformation a l'etat solide UAl3 → UAl4,René Boucher,1959,4,1,1,13-27,,journal-article,,https://doi.org/10.1016/0022-3115(59)90007-8
10.1016/0022-3115(59)90013-3,Atom movements and dislocation structures for plastic slip in single crystals of β-uranium,M.L. Kronberg,1959,4,1,1,85-95,,journal-article,,https://doi.org/10.1016/0022-3115(59)90013-3
10.1016/0022-3115(59)90009-1,The plastic deformation of uranium oxides above 800° C,R. Scott; A.R. Hall; J. Williams,1959,4,1,1,39-48,,journal-article,,https://doi.org/10.1016/0022-3115(59)90009-1
10.1016/0022-3115(59)90011-x,Essais de corrosion par l'eau à température élevée sur monocristaux d'aluminium de pureté 99.99 %,P. Lelong; J. Hérenguel,1959,4,1,1,58-72,,journal-article,,https://doi.org/10.1016/0022-3115(59)90011-x
10.1016/0022-3115(59)90006-6,Transformation temperatures and structures in uranium-fissium alloys,M.V. Nevitt; S.T. Zegler,1959,4,1,1,6-12,,journal-article,,https://doi.org/10.1016/0022-3115(59)90006-6
10.1016/0022-3115(59)90046-7,Cathodic bombardment etching of nuclear materials,D. Armstrong; P.E. Madsen; E.C. Sykes,1959,7,1,2,127-135,,journal-article,,https://doi.org/10.1016/0022-3115(59)90046-7
10.1016/0022-3115(59)90048-0,Corrosion of aluminium alloys in high temperature water — a survey,Ketil Videm,1959,7,1,2,145-153,,journal-article,,https://doi.org/10.1016/0022-3115(59)90048-0
10.1016/0022-3115(59)90049-2,The corrosion of austenitic stainless steels under heat transfer in high temperature water,J.N. Wanklyn; D. Jones,1959,7,1,2,154-173,,journal-article,,https://doi.org/10.1016/0022-3115(59)90049-2
10.1016/0022-3115(59)90051-0,Effect of fission rate and lamella spacing upon the irradiation-induced phase transformation of u-9 wt % mo alloy,M.L. Bleiberg,1959,7,1,2,182-190,,journal-article,,https://doi.org/10.1016/0022-3115(59)90051-0
10.1016/0022-3115(59)90050-9,High temperature creep and anelastic phenomena in polycrystalline refractory oxides,Roger Chang,1959,7,1,2,174-181,,journal-article,,https://doi.org/10.1016/0022-3115(59)90050-9
10.1016/0022-3115(59)90047-9,Stainless steel clad dispersion of boron in iron for pressurized water reactors,C.F. Leitten; R.J. Beaver; A.E. Richt,1959,7,1,2,136-144,,journal-article,,https://doi.org/10.1016/0022-3115(59)90047-9
10.1016/0022-3115(59)90025-x,The alloy system uranium-titanium-zirconium,B.W. Howlett,1959,10,1,3,289-299,,journal-article,,https://doi.org/10.1016/0022-3115(59)90025-x
10.1016/0022-3115(59)90021-2,Lead-lithium shielding alloy - metallurgical studies,D.H. Jansen; E.E. Hoffman; D.M. Shepherd,1959,10,1,3,249-258,,journal-article,,https://doi.org/10.1016/0022-3115(59)90021-2
10.1016/0022-3115(59)90018-2,Dispersions of uranium carbides in aluminum for plate-type fuel elements requiring high-uranium concentrations,W.C. Thurber; R.J. Beaver,1959,10,1,3,226-232,,journal-article,,https://doi.org/10.1016/0022-3115(59)90018-2
10.1016/0022-3115(59)90035-2,Localised penetrating corrosion of a sintered aluminium powder alloy in high temperature steam,C.F. Britton; N.J.M. Wilkins,1959,12,1,4,374-376,,journal-article,,https://doi.org/10.1016/0022-3115(59)90035-2
10.1016/0022-3115(59)90031-5,Influence du mecanisme de deformation sur la recristallisation des monocristaux d'uranium α ecrouis,D. Calais; P. Lacombe; Mme N. Simenel,1959,12,1,4,325-344,,journal-article,,https://doi.org/10.1016/0022-3115(59)90031-5
10.1016/0022-3115(60)90029-5,The nature of subgrain boundaries due to phase transformation in uranium,R.W. Cahn; Mrs.H. Tomlinson,1960,3,2,1,88-89,,journal-article,,https://doi.org/10.1016/0022-3115(60)90029-5
10.1016/0022-3115(60)90032-5,Constitution of uranium and thorium alloys,G. Cabane,1960,3,2,1,94,,journal-article,,https://doi.org/10.1016/0022-3115(60)90032-5
10.1016/0022-3115(60)90031-3,The sintering of uranium oxides,J. Williams,1960,3,2,1,92-93,,journal-article,,https://doi.org/10.1016/0022-3115(60)90031-3
10.1016/0022-3115(60)90024-6,Ageing and hot hardness characteristics of certain thorium alloys,G.H. Bannister; R.C. Burnett; Miss J.R. Murray,1960,3,2,1,51-61,,journal-article,,https://doi.org/10.1016/0022-3115(60)90024-6
10.1016/0022-3115(60)90028-3,The uranium-molybdenum equilibrium diagram below 900° C,Austin E Dwight,1960,3,2,1,81-87,,journal-article,,https://doi.org/10.1016/0022-3115(60)90028-3
10.1016/0022-3115(60)90039-8,The lattice spacings of thorium-lanthanum alloys,D.S. Evans; G.V. Raynor; R.T. Weiner,1960,6,2,2,121-128,,journal-article,,https://doi.org/10.1016/0022-3115(60)90039-8
10.1016/0022-3115(60)90058-1,The plastic deformation of alpha-uranium,A.G. Young; K.M. Gardiner; W.B. Rotsey,1960,9,2,3,234-247,,journal-article,,https://doi.org/10.1016/0022-3115(60)90058-1
10.1016/0022-3115(60)90059-3,The effect of neutron irradiation on the tensile properties of zircaloy-2,L.M. Howe; W.R. Thomas,1960,9,2,3,248-260,,journal-article,,https://doi.org/10.1016/0022-3115(60)90059-3
