doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/s1369-7021(98)80047-3,Materials science in Europe for the 21st Century,,1998,,1,2,16-17,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80047-3
10.1016/s1369-7021(98)80017-5,Interdisciplinary macromolecular science and engineering — The new frontier,Samuel I. Stupp,1998,,1,4,8-10,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80017-5
10.1016/s1369-7021(98)80013-8,Sauce for the goose?,,1998,,1,3,37,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80013-8
10.1016/s1369-7021(98)80042-4,Laser process for producing titanium parts,,1998,,1,2,10-11,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80042-4
10.1016/s1369-7021(98)80020-5,"Thermodynamics of perfect polymer fibers in tension: failure work, strength, modulus, volume, entropy, enthalpy, and melting",K.J. Smith,1998,,1,4,14-15,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80020-5
10.1016/s1369-7021(98)80029-1,A perspective on United States government-funded polymer research and development,W. Wade Adams; B.L. Farmer; Jeffrey P. Haines,1998,,1,4,25-30,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80029-1
10.1016/s1369-7021(98)80044-8,RT CW operation of InGaN multi-quantum-well structure laser diodes,Shuji Nakamura,1998,,1,2,12-13,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80044-8
10.1016/s1369-7021(98)80027-8,Conferences in central &amp; eastern Europe,,1998,,1,4,21,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80027-8
10.1016/s1369-7021(98)80026-6,Up-date on the preparations for the 1999 E-MRS spring meeting,,1998,,1,4,20,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80026-6
10.1016/s1369-7021(98)80011-4,Biomaterials inventor extraordinaire,George Marsh,1998,,1,3,31-34,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80011-4
10.1016/s1369-7021(98)80049-7,International contacts,,1998,,1,2,18-19,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80049-7
10.1016/s1369-7021(98)80037-0,ISI open to change,Rodney Chonka,1998,,1,2,5,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80037-0
10.1016/s1369-7021(98)80045-x,High strain rate fracture and C-chain unraveling in carbon nanotubes,,1998,,1,2,13-14,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80045-x
10.1016/s1369-7021(98)80036-9,A concrete argument,A.M. Brandt,1998,,1,2,5,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80036-9
10.1016/s1369-7021(98)80018-7,The elastic properties of crystalline syndiotactic polypropylene,Paul Unwin; Timothy Nicholson; Ian Ward,1998,,1,4,11-12,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80018-7
10.1016/s1369-7021(98)80034-5,Editorial,Phil Mestecky,1998,,1,2,3,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80034-5
10.1016/s1369-7021(98)80046-1,Current issues in recrystallization: A review,R.D. Doherty; D.A. Hughes; F.J. Humphreys; J.J. Jonas; D. Juul Jensen; M.E. Kassner; W.E. King; T.R. McNelley; H.J. McQueen; A.D. Rollett,1998,,1,2,14-15,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80046-1
10.1016/s1369-7021(98)80024-2,Editorial,Paul Siffert,1998,,1,4,19,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80024-2
10.1016/s1369-7021(98)80043-6,Plastics recycling research gains Horners Award,George Marsh,1998,,1,2,11,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80043-6
10.1016/s1369-7021(98)80025-4,The E-MRS is shaping up for the future,,1998,,1,4,20,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80025-4
10.1016/s1369-7021(98)80022-9,Made to Measure: New Materials for the 21st Century,Alex King,1998,,1,4,16-18,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80022-9
10.1016/s1369-7021(98)80015-1,Light-emitting polymers - The shape of things to come?,Paul L. Burn; Ifor D.W. Samuel,1998,,1,4,3-5,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80015-1
10.1016/s1369-7021(98)80021-7,Technological Dictionary of Plastics Materials,A.D. Jenkins,1998,,1,4,16,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80021-7
10.1016/s1369-7021(98)80006-0,MEPs vote to raise fifth framework programme budget,,1998,,1,3,15,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80006-0
10.1016/s1369-7021(98)80004-7,Colossal magnetoresistance in rare earth manganates,C.N.R. Rao,1998,,1,3,9-13,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80004-7
10.1016/s1369-7021(98)80012-6,"Materials, research &amp; technology news",,1998,,1,3,35-37,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80012-6
10.1016/s1369-7021(98)80009-6,Combinatorial synthesis and high throughput evaluation of functional materials,X.-D. Xiang,1998,,1,3,23-26,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80009-6
10.1016/s1369-7021(98)80051-5,Lab profile: The national physical laboratory,,1998,,1,2,22-27,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80051-5
10.1016/s1369-7021(98)80008-4,Preliminary call for papers E-MRS spring meeting,,1998,,1,3,18-19,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80008-4
10.1016/s1369-7021(98)80023-0,Fundamentals of Functionally Graded Materials,Daniel Delfosse,1998,,1,4,18,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80023-0
10.1016/s1369-7021(98)80007-2,"Conference report E-MRS 1998, Strasbourg, France 16–19 June 1998",,1998,,1,3,16-22,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80007-2
10.1016/s1369-7021(98)80038-2,Current trends in biomaterials,John Nicholson,1998,,1,2,6-8,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80038-2
10.1016/s1369-7021(98)80041-2,EU increases support for powder metallurgy,,1998,,1,2,10,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80041-2
10.1016/s1369-7021(98)80035-7,What's in a headline?,Phil Mestecky,1998,,1,2,5,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80035-7
10.1016/s1369-7021(98)80031-x,A different approach to the world of materials at the University of Groningen,Georges Hadziioannou; Jeff Th. de Hosson,1998,,1,4,34-36,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80031-x
10.1016/s1369-7021(98)80002-3,Naturally new materials,Julian F.V. Vincent,1998,,1,3,3-6,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80002-3
10.1016/s1369-7021(98)80039-4,LED ‘light bulbs’ next breakthrough for GaN?,,1998,,1,2,9,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80039-4
10.1016/s1369-7021(98)80040-0,Researching materials to prevent earthquake damage,,1998,,1,2,9-10,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80040-0
10.1016/s1369-7021(98)80052-7,Conference calendar,,1998,,1,2,28-34,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80052-7
10.1016/s1369-7021(98)80001-1,What is materials chemistry?,Phil Mestecky,1998,,1,3,1,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80001-1
10.1016/s1369-7021(98)80005-9,E-MRS moves to strengthen collaboration between materials related societies in Europe,,1998,,1,3,15,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80005-9
10.1016/s1369-7021(98)80033-3,Conference calendar,,1998,,1,4,41-44,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80033-3
