doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/s1369-7021(98)80042-4,Laser process for producing titanium parts,,1998,,1,2,10-11,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80042-4
10.1016/s1369-7021(98)80045-x,High strain rate fracture and C-chain unraveling in carbon nanotubes,,1998,,1,2,13-14,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80045-x
10.1016/s1369-7021(98)80041-2,EU increases support for powder metallurgy,,1998,,1,2,10,,journal-article,,https://doi.org/10.1016/s1369-7021(98)80041-2
10.1016/s1369-7021(99)80014-5,1999 Important for aerospace composites,,1999,,2,1,11,,journal-article,,https://doi.org/10.1016/s1369-7021(99)80014-5
10.1016/s1369-7021(99)80013-3,Future trends in satellite systems and their impact on material choice,Fiona Nairn Scott,1999,,2,1,7-10,,journal-article,,https://doi.org/10.1016/s1369-7021(99)80013-3
10.1016/s1369-7021(00)80025-5,Liu wins Acta medal for intermetallic alloys work,,2000,,3,3,10-11,,journal-article,,https://doi.org/10.1016/s1369-7021(00)80025-5
10.1016/s1369-7021(00)80018-8,Stronger joining technique facilitates carbon fibre aerospace structures,,2000,,3,3,7,,journal-article,,https://doi.org/10.1016/s1369-7021(00)80018-8
10.1016/s1369-7021(00)80015-2,"Improving the colour ofgem-quality diamonds by high-pressure, high-temperature annealing",Alan T Collins,2000,,3,3,3-6,,journal-article,,https://doi.org/10.1016/s1369-7021(00)80015-2
10.1016/s1369-7021(00)80034-6,Mixed fortunes for aerospace materials,George Marsh,2000,,3,3,21-25,,journal-article,,https://doi.org/10.1016/s1369-7021(00)80034-6
10.1016/s1369-7021(01)80208-x,Life performance research aimed at addressing industrial wear problem,,2001,,4,1,23,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80208-x
10.1016/s1369-7021(01)80101-2,Development of aluminum bodies for fuel-efficient vehicles,,2001,,4,2,3,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80101-2
10.1016/s1369-7021(01)80196-6,Optimizing structural design in composites by learning from bone,,2001,,4,1,16,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80196-6
10.1016/s1369-7021(01)80213-3,Development aluminum bodies for fuel efficient vehicles,Masaaki Saito,2001,,4,1,30-34,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80213-3
10.1016/s1369-7021(01)80195-4,Tetronics uses dc plasma to produce nanometric aluminum powder,,2001,,4,1,15,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80195-4
10.1016/s1369-7021(01)80168-1,Portable hardness tester,,2001,7,4,4,43,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80168-1
10.1016/s1369-7021(01)80159-0,US and EU collaborate on fusion and non-nuclear energy,,2001,7,4,4,18,,journal-article,,https://doi.org/10.1016/s1369-7021(01)80159-0
10.1016/s1369-7021(02)05149-0,Honoring aluminum,,2002,1,5,1,42,,journal-article,,https://doi.org/10.1016/s1369-7021(02)05149-0
10.1016/s1369-7021(02)05345-2,Testing for hardness,,2002,4,5,3,50,,journal-article,,https://doi.org/10.1016/s1369-7021(02)05345-2
10.1016/s1369-7021(02)05410-x,Stainless steel’s Achilles heel,,2002,4,5,4,12,,journal-article,,https://doi.org/10.1016/s1369-7021(02)05410-x
10.1016/s1369-7021(02)01027-1,Modeling of alloy steels,Levente Vitos; Pavel A Korzhavyi; Börje Johansson,2002,10,5,10,14-23,,journal-article,,https://doi.org/10.1016/s1369-7021(02)01027-1
10.1016/s1369-7021(02)01113-6,Laying an alloy ‘egg’,,2002,11,5,11,9,,journal-article,,https://doi.org/10.1016/s1369-7021(02)01113-6
10.1016/s1369-7021(02)01214-2,A copper jaw,,2002,12,5,12,14,,journal-article,,https://doi.org/10.1016/s1369-7021(02)01214-2
10.1016/s1369-7021(03)00102-0,Surprising behavior in aluminum,,2003,1,6,1,6,,journal-article,,https://doi.org/10.1016/s1369-7021(03)00102-0
10.1016/s1369-7021(03)00103-2,Nano-approach unites strength and ductility,,2003,1,6,1,6,,journal-article,,https://doi.org/10.1016/s1369-7021(03)00103-2
