title,authors,date,doi,url,article_type,open_access,description
Intrinsic attraction driving the high temperature performance of additively manufactured aluminum alloys,Yueting Wang; Chengzhe Yu; Ruidi Li,2026-04-07,10.1038/s41467-026-71390-3,https://www.nature.com/articles/s41467-026-71390-3,,Yes,"This study introduces an intrinsic attraction strategy to enhance the high-temperature performance of additively manufactured aluminum alloys. By confining atomic defects and stabilizing precipitates, the alloy retains 305 MPa at 300 °C with creep resistance up to 400 °C."
Bubble explosion induced melt pool instabilities in electron beam melting of aluminum alloy,Jiandong Yuan; Luis I. Escano; Lianyi Chen,2026-04-07,10.1038/s41467-026-71118-3,https://www.nature.com/articles/s41467-026-71118-3,,Yes,"In-situ high-speed synchrotron X-ray imaging quantifies bubble explosion dynamics during electron beam melting, observing process sensitive melt pool instabilities and defect formation."
Grain boundary segregation and solute drag in multicomponent alloys,Milad Taghizadeh; Malek Alkayyali; Fadi Abdeljawad,2026-04-04,10.1038/s41467-026-71062-2,https://www.nature.com/articles/s41467-026-71062-2,,Yes,Grain boundary solute drag in multicomponent alloys remains poorly understood. The authors introduce a theoretical framework revealing diverse solute drag behaviors arising from coupled interactions of multiple dopants with migrating boundaries.
Direct visualization of the existence of surface local chemical order in a high-entropy CoCrFeMnNi alloy,Lauren Kim; Prince Sharma; TeYu Chien,2026-03-28,10.1038/s41467-026-71170-z,https://www.nature.com/articles/s41467-026-71170-z,,Yes,The surface chemical ordering in high entropy alloys is revealed by the surface sensitive imaging tool - scanning tunneling microscopy – which is enabled by the subtle differences in the partial density of states among different elements.
Increasing fatigue resistance in ordered intermetallic alloys with multi-element symbiosis,Qian Li; Lijun Jing; Tao Yang,2026-03-18,10.1038/s41467-026-70838-w,https://www.nature.com/articles/s41467-026-70838-w,,Yes,"Leveraging multi-element symbiosis, protective interfacial nanolayers are engineered in an intermetallic alloy. This results in a high fatigue limit of ~1,100 MPa, far exceeding that of conventional intermetallic alloys."
Atomic-scale strain waves for stronger and more ductile lightweight steels,Qiankun Yang; Weisong Wu; Zhiming Li,2026-03-17,10.1038/s41467-026-70841-1,https://www.nature.com/articles/s41467-026-70841-1,,Yes,"High-strength lightweight steels are vital for saving energy and enhancing safety in engineering applications. Here, the authors tune atomic-scale strain waves in a steel alloy to expand dislocation storage capacity, significantly enhancing strength-ductility synergy."
Direct aluminium-alloy upcycling from entire end-of life vehicles,Patrick Krall; Irmgard Weißensteiner; Stefan Pogatscher,2026-02-13,10.1038/s41467-026-69492-z,https://www.nature.com/articles/s41467-026-69492-z,,Yes,"This study presents a process that upcycles mixed end-of-life vehicle scrap into aluminium alloys surpassing current automotive alloy performance. It operates without sorting or downcycling for circular, low-emission aluminium recovery."
A magnetically soft yet mechanically strong and ductile Ta free CoFeNi high entropy alloy with Al and Ti additions,Sudip Kumar Sarkar; Nachiket Keskar; Rajarshi Banerjee,2026-02-05,10.1038/s41467-026-68891-6,https://www.nature.com/articles/s41467-026-68891-6,,Yes,"High torque, high frequency, electrical motors require soft magnetic materials with&#xa0;low coercivity and high strength, often relying on rare earth elements like Ta&#xa0;in CoFeNi based alloys. Here, a processing pathway for two Ta-free CoFeNi-based alloys is described, with enhanced properties driven through hierarchical multiphase precipitation."
Tuning superelasticity in high entropy alloy via a hidden strain order,Quanfeng He; Shuai Ren; Yong Yang,2026-02-03,10.1038/s41467-026-69108-6,https://www.nature.com/articles/s41467-026-69108-6,,Yes,"Designing superelastic materials remains challenging. Here, the authors reveal that hidden atomic-scale strain order in a high-entropy alloy enables reversible switching between linear and nonlinear superelasticity through subtle composition tuning."
Dynamic plastic deformation delocalization in FCC solid solution metals,Dhruv Anjaria; Milan Heczko; J. C. Stinville,2026-02-02,10.1038/s41467-026-69046-3,https://www.nature.com/articles/s41467-026-69046-3,,Yes,"This work identifies a mechanism, termed dynamic plastic delocalization, that homogenizes deformation in FCC alloys, breaking the usual trade-off between monotonic strength and cyclic fatigue strength and enabling improved fatigue performance without loss of strength."
