doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/1741-4326/acacb0,Effect of edge ion temperature on the divertor tungsten sputtering in WEST,Y. Li; N. Fedorczak; G.S. Xu; Y. Liang; S. Brezinsek; J. Morales,2023,1,63,2,026019,,journal-article,,https://doi.org/10.1088/1741-4326/acacb0
10.1088/1741-4326/acadf1,Global gyrokinetic simulation of edge coherent mode in EAST,Baoyi Xie; Lei Ye; Yang Chen; Pengfei Zhao; Yang Ye; Xin Lin; Heng Lan; Wenfeng Guo; Nong Xiang,2023,1,63,2,026017,,journal-article,,https://doi.org/10.1088/1741-4326/acadf1
10.1088/1741-4326/acab76,Implementation of SOLPS-ITER code with new Grad–Zhdanov module for D–T mixture,S.O. Makarov; D.P. Coster; E.G. Kaveeva; V.A. Rozhansky; I.Y. Senichenkov; I.Y. Veselova; S.P. Voskoboynikov; A.A. Stepanenko; X. Bonnin; R.A. Pitts,2023,1,63,2,026014,,journal-article,,https://doi.org/10.1088/1741-4326/acab76
10.1088/1741-4326/acacaf,Global SOLPS-ITER and ERO2.0 coupling in a linear device for the study of plasma–wall interaction in helium plasma,G. Alberti; E. Tonello; P. Carminati; A. Uccello; X. Bonnin; J. Romazanov; S. Brezinsek; M. Passoni,2023,1,63,2,026020,,journal-article,,https://doi.org/10.1088/1741-4326/acacaf
10.1088/1741-4326/aca48c,Decreased surface blistering and deuterium retention in potassium-doped tungsten exposed to deuterium plasma following ion irradiation,Xiaolei Ma; Xiaoxin Zhang; Ting Wang; Yuan Gao; Yue Yuan; Long Cheng; Jipeng Zhu; Wei Lv; Shaoting Lang; Changchun Ge; Qingzhi Yan,2023,1,63,2,026013,,journal-article,,https://doi.org/10.1088/1741-4326/aca48c
10.1088/1741-4326/acab15,Zonal flow excitation in electron-scale tokamak turbulence,Stefan Tirkas; Haotian Chen; Gabriele Merlo; Frank Jenko; Scott Parker,2023,1,63,2,026015,,journal-article,,https://doi.org/10.1088/1741-4326/acab15
10.1088/1741-4326/acadef,Effects of bootstrap current on magnetic configuration in Chinese first quasi-axisymmetric stellarator,Haifeng Liu; Jian Zhang; Yuhong Xu; Akihiro Shimizu; Wilfred Anthony Cooper; Shoichi Okamura; Mitsutaka Isobe; Xianqu Wang; Jie Huang; Jun Cheng; Hai Liu; Xin Zhang; Changjian Tang,2023,1,63,2,026018,,journal-article,,https://doi.org/10.1088/1741-4326/acadef
10.1088/1741-4326/acadf2,Effect of pre-irradiation defects on helium trapping and diffusion in RAFM steel,Xiuxuan Duan; Shuoxue Jin; Yamin Song; Yanli Wang; Yi Xiong; Weiping Zhang; Shilei Li; Xingzhong Cao,2023,1,63,2,026016,,journal-article,,https://doi.org/10.1088/1741-4326/acadf2
10.1088/1741-4326/aca684,Neoclassical toroidal plasma viscosity in bounce-transit and drift resonance regimes in tokamaks,K.C. Shaing; M. Garcia-Munoz; E. Viezzer,2023,1,63,2,026012,,journal-article,,https://doi.org/10.1088/1741-4326/aca684
10.1088/1741-4326/aca8b9,Comprehensive investigation of lattice dynamics of neutron multiplier beryllides: vibrational spectra and thermal performances,Bao-Long Ji; Chi Wang; Shou-Xi Gu; Qiang Qi; Xiao-Chun Li; Hai-Shan Zhou; Guang-Nan Luo,2023,1,63,2,026023,,journal-article,,https://doi.org/10.1088/1741-4326/aca8b9
10.1088/1741-4326/acab75,Effects of drifts on scrape-off layer transport in W7-X,D.M. Kriete; A. Pandey; V. Perseo; J.C. Schmitt; D.A. Ennis; D. Gradic; K.C. Hammond; M. Jakubowski; C. Killer; R. König; D.A. Maurer; F. Reimold; V. Winters; M.N.A. Beurskens; S.A. Bozhenkov; K.J. Brunner; G. Fuchert; J. Knauer; E. Pasch; E.R. Scott,2023,1,63,2,026022,,journal-article,,https://doi.org/10.1088/1741-4326/acab75
10.1088/1741-4326/aca6f9,Magnetic potential based formulation for linear and non-linear 3D RF sheath simulation,S. Shiraiwa; N. Bertelli; W. Tierens; R. Bilato; J. Hillairet; J. Myra; H. Kohno; M. Poulos; M. Ono,2023,1,63,2,026024,,journal-article,,https://doi.org/10.1088/1741-4326/aca6f9
10.1088/1741-4326/acadf0,Control of resistive wall modes in the spherical tokamak,Guoliang Xia; Yueqiang Liu; T.C. Hender; K.G. McClements; E. Trier; E. Tholerus,2023,1,63,2,026021,,journal-article,,https://doi.org/10.1088/1741-4326/acadf0
10.1088/1741-4326/acaedb,Surface instability of static liquid metal in magnetized fusion plasma,N. Somboonkittichai; G.Z. Zuo,2023,1,63,2,026026,,journal-article,,https://doi.org/10.1088/1741-4326/acaedb
10.1088/1741-4326/acae36,Compatibility of large ELM control and stable partial detachment with neon/argon seeding in EAST,K. Li; X. Lin; Z. Yang; Q. Yang; G. Xu; L. Meng; Y. Wang; H. Lan; B. Zhang; L. Xu; K. Wu; T. He; J. Xu; J. Wu; F. Ding; Y. Duan; S. Mao; Q. Zang; L. Zhang; T. Zhang; F. Wang; L. Wang; G.-N. Luo,2023,1,63,2,026025,,journal-article,,https://doi.org/10.1088/1741-4326/acae36
10.1088/1741-4326/acacb1,"Notice of Redundant Publication: ‘Isotope effects on turbulence and zonal flows in HL-2A edge plasma’ Y. He et al 2022 Nucl. Fusion 
               62 096033",,2023,1,63,2,029901,,journal-article,,https://doi.org/10.1088/1741-4326/acacb1
10.1088/1741-4326/aca98d,A novel scheme for error field correction in permanent magnet stellarators,A. Rutkowski; K. Hammond; C. Zhu; D. Gates; A. Chambliss,2023,1,63,2,026027,,journal-article,,https://doi.org/10.1088/1741-4326/aca98d
10.1088/1741-4326/acaf0e,Improvement in the simulation tools for heat distribution predictions and control of baffle and middle divertor loads in Wendelstein 7-X,Yu Gao; Yuhe Feng; Michael Endler; Marcin W. Jakubowski; Joachim Geiger; Sergey Bozhenkov; Aleix Puig Sitjes; Fabio Pisano; Chandra Prakash Dhard; Dirk Naujoks; Maciej Krychowiak; Matthias Otte; Ralf König; Daihong Zhang; Georg Schlisio; Uwe Wenzel; Thomas Sunn Pedersen,2023,1,63,2,026031,,journal-article,,https://doi.org/10.1088/1741-4326/acaf0e
10.1088/1741-4326/acae37,On the role of mode resonances in regulating zonal-flow-moderated plasma microturbulence,P.-Y. Li; M.J. Pueschel; P.W. Terry; G.G. Whelan,2023,1,63,2,026028,,journal-article,,https://doi.org/10.1088/1741-4326/acae37
10.1088/1741-4326/acaf0d,Conceptual design of DIII-D experiments to diagnose the lifetime of spin polarized fuel,A.V. Garcia; W.W. Heidbrink; A.M. Sandorfi,2023,1,63,2,026030,,journal-article,,https://doi.org/10.1088/1741-4326/acaf0d
10.1088/1741-4326/acae38,The constraint of plasma power balance on runaway avoidance,Christopher J. McDevitt; Xian-Zhu Tang; Christopher J. Fontes; Prashant Sharma; Hyun-Kyung Chung,2023,1,63,2,024001,,journal-article,,https://doi.org/10.1088/1741-4326/acae38
10.1088/1741-4326/acaedc,Quantifying electron cyclotron power deposition broadening in DIII-D and the potential consequences for the ITER EC system,J.H. Slief; R.J.R. van Kampen; M.W. Brookman; J. van Dijk; E. Westerhof; M. van Berkel,2023,1,63,2,026029,,journal-article,,https://doi.org/10.1088/1741-4326/acaedc
10.1088/1741-4326/acaf3a,ELM sputter erosion modeling of a tungsten coated small angle slot divertor in DIII-D,J.N. Brooks; T. Sizyuk; G. Sinclair; T. Abrams; A. Hassanein,2023,1,63,2,026032,,journal-article,,https://doi.org/10.1088/1741-4326/acaf3a
10.1088/1741-4326/acae35,Effects of surface vacancy-adatom pair formation on PFC tungsten surface morphological response,Chao-Shou Chen; Dwaipayan Dasgupta; Asanka Weerasinghe; Karl D. Hammond; Brian D. Wirth; Dimitrios Maroudas,2023,1,63,2,026033,,journal-article,,https://doi.org/10.1088/1741-4326/acae35
10.1088/1741-4326/acb27b,Limit-cycle-oscillation induced from the positive feedback amplification of radial electric field in the scrape-off-layer,J.Y. Kim; H.S. Han; L. Jung,2023,1,63,3,034001,,journal-article,,https://doi.org/10.1088/1741-4326/acb27b
10.1088/1741-4326/acaf2f,The effect of impurity seeding into the closed divertor on plasma detachment in the HL-2A tokamak,J.M. Gao; L.Z. Cai; C.Z. Cao; H.C. Ma; R. Ke; N. Wu; Y. Hu; X.Y. Gao; C.H. Cui; Z.H. Huang; L. Nie; L. Liu; Z.C. Yang; X. Yu; Y.G. Li; M. Jiang; G.Q. Xue; W.L. Zhong; T. Wu; Z.B. Shi; L.W. Yan; X.Q. Ji; M. Xu,2023,1,63,3,036006,,journal-article,,https://doi.org/10.1088/1741-4326/acaf2f
10.1088/1741-4326/acb15f,The scalings of the thermal energy confinement time in EAST H-mode plasmas,T.Q. Jia; J.P. Qian; D.L. Chen; D. Moreau; B. Shen; B. Zhang; X.Z. Gong; J. Huang; J.Y. Zhang; X.D. Yang; R.R. Liang; Y.C. Hu; L.X. Chen; Y.F. He; Y. Tao; Z.H. Wang; L. Zeng; Y.W. Sun,2023,1,63,3,036005,,journal-article,,https://doi.org/10.1088/1741-4326/acb15f
10.1088/1741-4326/acb1c7,Predictions of improved confinement in SPARC via energetic particle turbulence stabilization,A. Di Siena; P. Rodriguez-Fernandez; N.T. Howard; A. Bañón Navarro; R. Bilato; T. Görler; E. Poli; G. Merlo; J. Wright; M. Greenwald; F. Jenko,2023,1,63,3,036003,,journal-article,,https://doi.org/10.1088/1741-4326/acb1c7
10.1088/1741-4326/acb160,"Parallel transport modeling of linear divertor simulators with fundamental ion cyclotron heating
                  <sup>*</sup>",A. Kumar; J.F. Caneses-Marin; C. Lau; R. Goulding,2023,1,63,3,036004,,journal-article,,https://doi.org/10.1088/1741-4326/acb160
10.1088/1741-4326/acb21f,"Impact of β
               <sub>
                  n
               </sub> and spectrum of n = 1 applied fields on fast ion losses in DIII-D",K.R. Gage; X. Chen; M. Van Zeeland; W.W. Heidbrink; J. Hanson; B. Lyons; D.C. Pace; J. Galdon-Quiroga; M. Garcia-Munoz,2023,1,63,3,036002,,journal-article,,https://doi.org/10.1088/1741-4326/acb21f
10.1088/1741-4326/acb27c,Molecular dynamics study on the slippage of liquid lithium flow in tungsten nanochannels,S. Liu; X. Yu,2023,1,63,3,036007,,journal-article,,https://doi.org/10.1088/1741-4326/acb27c
10.1088/1741-4326/acb221,Hybrid-kinetic simulation of synergy between fishbone/sawtooth and tearing mode-induced energetic-ion transport in a tokamak plasma,X.L. Zhu; L.M. Yu; W. Chen; P.W. Shi; W.L. Ge; F. Wang; Q.B. Luan; H.E. Sun; Z.X. Wang,2023,2,63,3,036014,,journal-article,,https://doi.org/10.1088/1741-4326/acb221
10.1088/1741-4326/acb1c6,Self-consistent investigation of density fueling needs on ITER and CFETR utilizing the new Pellet Ablation Module,J. McClenaghan; L.L. Lao; P.B. Parks; W. Wu; J. Zhang; V.S. Chan,2023,2,63,3,036015,,journal-article,,https://doi.org/10.1088/1741-4326/acb1c6
10.1088/1741-4326/acb4aa,Trends in runaway electron plateau partial recombination by massive H<sub>2</sub> or D<sub>2</sub> injection in DIII-D and JET and first extrapolations to ITER and SPARC,E.M. Hollmann; L. Baylor; A. Boboc; P. Carvalho; N.W. Eidietis; J.L. Herfindal; S. Jachmich; A. Lvovskiy; C. Paz-Soldan; C. Reux; D. Shiraki; R. Sweeney,2023,2,63,3,036011,,journal-article,,https://doi.org/10.1088/1741-4326/acb4aa
10.1088/1741-4326/acb44d,Hot electron and ion spectra on blow-off plasma free target in GXII-LFEX direct fast ignition experiment,T. Ozaki; Y. Abe; Y. Arikawa; Y. Sentoku; J. Kawanaka; S. Tokita; N. Miyanaga; T. Jitsuno; Y. Nakata; K. Tsubakimoto; A. Sunahara; T. Jhozaki; E. Miura; O. Komeda; A. Iwamoto; H. Sakagami; S. Okihara; K. Ishii; R. Hanayama; Y. Mori; Y. Kitagawa,2023,2,63,3,036009,,journal-article,,https://doi.org/10.1088/1741-4326/acb44d
10.1088/1741-4326/acb2dc,First results from third harmonic ion cyclotron acceleration of deuterium beams in EAST ion heating studies experiments,G. Zhu; W. Zhang; X. Zhang; G. Zhong; C. Qin; L. Liu; H. Yang; L. Liao; Y. Cheng; Y. Mao; S. Yuan; Y. Wang; H. Li; J. Luo,2023,2,63,3,036013,,journal-article,,https://doi.org/10.1088/1741-4326/acb2dc
10.1088/1741-4326/acb44f,Isotope mass dependence of pedestal transport in JET H-mode plasmas,I. Predebon; D.R. Hatch; L. Frassinetti; L. Horvath; S. Saarelma; B. Chapman-Oplopoiou; T. Görler; C.F. Maggi,2023,2,63,3,036010,,journal-article,,https://doi.org/10.1088/1741-4326/acb44f
10.1088/1741-4326/acb36f,Integrated simulation analysis of the HL-2M high-parameter hybrid scenario,Y. Zhong; G. Yang; X. Gong; P. Yu; Q. Tan; Q. Huang; P. Zheng; L. Yin; T. Yang; Z. Gao; Z. Wang; M. Xu,2023,2,63,3,036012,,journal-article,,https://doi.org/10.1088/1741-4326/acb36f
10.1088/1741-4326/acb4ad,Parametric study of midplane gas puffing to maximize ICRF power coupling in ITER,W. Zhang; A. Messiaen; W. Helou; V. Bobkov; P. Lamalle; R.A. Pitts; W. Tierens,2023,2,63,3,036008,,journal-article,,https://doi.org/10.1088/1741-4326/acb4ad
10.1088/1741-4326/acb4a9,Greedy permanent magnet optimization,Alan A. Kaptanoglu; Rory Conlin; Matt Landreman,2023,2,63,3,036016,,journal-article,,https://doi.org/10.1088/1741-4326/acb4a9
