doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.nme.2014.11.001,Helium trapping in carbide precipitates in a tempered F82H ferritic–martensitic steel,B. Mazumder; M.E. Bannister; F.W. Meyer; M.K. Miller; C.M. Parish; P.D. Edmondson,2015,1,1,,8-12,,journal-article,,https://doi.org/10.1016/j.nme.2014.11.001
10.1016/j.nme.2014.10.001,Cracking behavior of tungsten armor under ELM-like thermal shock loads: A computational study,Muyuan Li; Ewald Werner; Jeong-Ha You,2015,3,2,,1-11,,journal-article,,https://doi.org/10.1016/j.nme.2014.10.001
10.1016/j.nme.2015.02.001,Electrical behaviour of ceramic breeder blankets in pebble form after γ-radiation,E. Carella; T. Hernández; B. Moreno; E. Chinarro,2015,7,3-4,,1-5,,journal-article,,https://doi.org/10.1016/j.nme.2015.02.001
10.1016/j.nme.2015.04.001,"Microstructure and mechanical properties of V–Me(Cr,W)–Zr alloys as a function of their chemical–thermal treatment modes",V.M. Chernov; M.M. Potapenko; V.A. Drobyshev; M.V. Kravtsova; A.N. Tyumentsev; S.V. Ovchinnikov; I.A. Ditenberg; Y.P. Pinzhin; A.D. Korotaev; I.V. Smirnov; K.V. Grinyaev; I.I. Sukhanov,2015,7,3-4,,17-21,,journal-article,,https://doi.org/10.1016/j.nme.2015.04.001
10.1016/j.nme.2015.05.001,Surface cracking of tungsten-vanadium alloys under transient heat loads,Kameel Arshad; Dan Ding; Jun Wang; Yue Yuan; Zheng Wang; Ying Zhang; Zhang-Jian Zhou; Xiang Liu; Guang-Hong Lu,2015,7,3-4,,32-36,,journal-article,,https://doi.org/10.1016/j.nme.2015.05.001
10.1016/j.nme.2015.04.002,Mechanical and microstructural investigations of tungsten and doped tungsten materials produced via powder injection molding,Steffen Antusch; David E.J. Armstrong; T. Ben Britton; Lorelei Commin; James S.K.-L. Gibson; Henri Greuner; Jan Hoffmann; Wolfram Knabl; Gerald Pintsuk; Michael Rieth; Steve G. Roberts; Tobias Weingaertner,2015,7,3-4,,22-31,,journal-article,,https://doi.org/10.1016/j.nme.2015.04.002
10.1016/j.nme.2015.07.001,Neutron diffraction stress determination in W-laminates for structural divertor applications,R. Coppola; C. Ohms; J. Reiser; M. Rieth; R.C. Wimpory,2015,7,3-4,,37-42,,journal-article,,https://doi.org/10.1016/j.nme.2015.07.001
10.1016/j.nme.2015.09.001,Product analysis during the thermo-oxidation of amorphous deuterated hydrocarbon films with NO2,D. Alegre; F.L. Tabares,2015,12,5,,1-6,,journal-article,,https://doi.org/10.1016/j.nme.2015.09.001
10.1016/j.nme.2015.10.001,Copper matrix composites as heat sink materials for water-cooled divertor target,Jeong-Ha You,2015,12,5,,7-18,,journal-article,,https://doi.org/10.1016/j.nme.2015.10.001
10.1016/j.nme.2015.12.001,Improvement of reduced activation 9%Cr steels by ausforming,J. Hoffmann; M. Rieth; L. Commin; P. Fernández; M. Roldán,2016,1,6,,12-17,,journal-article,,https://doi.org/10.1016/j.nme.2015.12.001
10.1016/j.nme.2016.01.001,"Surface modification and sputtering erosion of reduced activation ferritic martensitic steel F82H exposed to low-energy, high flux deuterium plasma",V.Kh. Alimov; Y. Hatano; N. Yoshida; H. Watanabe; M. Oyaidzu; M. Tokitani; T. Hayashi,2016,5,7,,25-32,,journal-article,,https://doi.org/10.1016/j.nme.2016.01.001
10.1016/j.nme.2016.04.014,Rapid preparation of tritium breeder material Li2TiO3 pebbles by thermal plasma,Hailong Zhu; Honghui Tong; Changming Cheng,2016,5,7,,20-24,,journal-article,,https://doi.org/10.1016/j.nme.2016.04.014
10.1016/j.nme.2016.04.006,Microstructural evolution in a new Fe based ODS alloy processed by mechanical alloying,Haijian Xu; Zheng Lu; Dongmei Wang; Chunming Liu,2016,5,7,,1-4,,journal-article,,https://doi.org/10.1016/j.nme.2016.04.006
10.1016/j.nme.2016.07.010,Investigation of mechanical properties and proton irradiation behaviors of SA-738 Gr.B steel used as reactor containment,Yongzheng Ma; Guang Ran; Nanjun Chen; Penghui Lei; Qiang Shen,2016,8,8,,18-22,,journal-article,,https://doi.org/10.1016/j.nme.2016.07.010
10.1016/j.nme.2016.05.016,"Sputtering of iron, chromium and tungsten by energetic deuterium ion bombardment",K. Sugiyama; K. Schmid; W. Jacob,2016,8,8,,1-7,,journal-article,,https://doi.org/10.1016/j.nme.2016.05.016
10.1016/j.nme.2016.02.001,Cracking behavior of tungsten armor under ELM-like thermal shockloads II: A revised prediction for crack appearance map,Muyuan Li; Jeong-Ha You,2016,12,9,,598-603,,journal-article,,https://doi.org/10.1016/j.nme.2016.02.001
