doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.nme.2014.11.002,Thermally activated reaction–diffusion-controlled chemical bulk reactions of gases and solids,S. Möller; A. Kreter; Ch. Linsmeier; U. Samm,2015,1,1,,1-7,,journal-article,,https://doi.org/10.1016/j.nme.2014.11.002
10.1016/j.nme.2014.11.001,Helium trapping in carbide precipitates in a tempered F82H ferritic–martensitic steel,B. Mazumder; M.E. Bannister; F.W. Meyer; M.K. Miller; C.M. Parish; P.D. Edmondson,2015,1,1,,8-12,,journal-article,,https://doi.org/10.1016/j.nme.2014.11.001
10.1016/j.nme.2015.01.001,Conceptual study of ferromagnetic pebbles for heat exhaust in fusion reactors with short power decay length,N. Gierse; J.W. Coenen; C. Thomser; A. Panin; Ch. Linsmeier; B. Unterberg; V. Philipps,2015,3,2,,12-19,,journal-article,,https://doi.org/10.1016/j.nme.2015.01.001
10.1016/j.nme.2014.10.001,Cracking behavior of tungsten armor under ELM-like thermal shock loads: A computational study,Muyuan Li; Ewald Werner; Jeong-Ha You,2015,3,2,,1-11,,journal-article,,https://doi.org/10.1016/j.nme.2014.10.001
10.1016/j.nme.2015.02.001,Electrical behaviour of ceramic breeder blankets in pebble form after γ-radiation,E. Carella; T. Hernández; B. Moreno; E. Chinarro,2015,7,3-4,,1-5,,journal-article,,https://doi.org/10.1016/j.nme.2015.02.001
10.1016/j.nme.2015.03.001,Thermal properties of minor actinide targets,D. Staicu; J. Somers; A. Fernandez; R.J.M. Konings,2015,7,3-4,,6-11,,journal-article,,https://doi.org/10.1016/j.nme.2015.03.001
10.1016/j.nme.2015.04.001,"Microstructure and mechanical properties of V–Me(Cr,W)–Zr alloys as a function of their chemical–thermal treatment modes",V.M. Chernov; M.M. Potapenko; V.A. Drobyshev; M.V. Kravtsova; A.N. Tyumentsev; S.V. Ovchinnikov; I.A. Ditenberg; Y.P. Pinzhin; A.D. Korotaev; I.V. Smirnov; K.V. Grinyaev; I.I. Sukhanov,2015,7,3-4,,17-21,,journal-article,,https://doi.org/10.1016/j.nme.2015.04.001
10.1016/j.nme.2015.05.001,Surface cracking of tungsten-vanadium alloys under transient heat loads,Kameel Arshad; Dan Ding; Jun Wang; Yue Yuan; Zheng Wang; Ying Zhang; Zhang-Jian Zhou; Xiang Liu; Guang-Hong Lu,2015,7,3-4,,32-36,,journal-article,,https://doi.org/10.1016/j.nme.2015.05.001
10.1016/j.nme.2015.01.002,The dissolution of helium in La-doped UO2 as a surrogate of hypo-stoichiometric UO2,Z. Talip; T. Wiss; A. Janssen; J.-Y. Colle; J. Somers; R.J.M. Konings,2015,7,3-4,,12-16,,journal-article,,https://doi.org/10.1016/j.nme.2015.01.002
10.1016/j.nme.2015.04.002,Mechanical and microstructural investigations of tungsten and doped tungsten materials produced via powder injection molding,Steffen Antusch; David E.J. Armstrong; T. Ben Britton; Lorelei Commin; James S.K.-L. Gibson; Henri Greuner; Jan Hoffmann; Wolfram Knabl; Gerald Pintsuk; Michael Rieth; Steve G. Roberts; Tobias Weingaertner,2015,7,3-4,,22-31,,journal-article,,https://doi.org/10.1016/j.nme.2015.04.002
10.1016/j.nme.2015.07.001,Neutron diffraction stress determination in W-laminates for structural divertor applications,R. Coppola; C. Ohms; J. Reiser; M. Rieth; R.C. Wimpory,2015,7,3-4,,37-42,,journal-article,,https://doi.org/10.1016/j.nme.2015.07.001
10.1016/j.nme.2015.09.001,Product analysis during the thermo-oxidation of amorphous deuterated hydrocarbon films with NO2,D. Alegre; F.L. Tabares,2015,12,5,,1-6,,journal-article,,https://doi.org/10.1016/j.nme.2015.09.001
10.1016/j.nme.2015.10.001,Copper matrix composites as heat sink materials for water-cooled divertor target,Jeong-Ha You,2015,12,5,,7-18,,journal-article,,https://doi.org/10.1016/j.nme.2015.10.001
10.1016/j.nme.2015.12.001,Improvement of reduced activation 9%Cr steels by ausforming,J. Hoffmann; M. Rieth; L. Commin; P. Fernández; M. Roldán,2016,1,6,,12-17,,journal-article,,https://doi.org/10.1016/j.nme.2015.12.001
