doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1038/s44334-024-00002-z,Conceptualizing space environmental sustainability,Weiwei Mo; Brad Kinsey; John Vickers; Henry Helvajian; Ioana Cozmuta; Marissa Herron; Ajay Malshe,2024,8,1,1,,2,journal-article,,https://doi.org/10.1038/s44334-024-00002-z
10.1038/s44334-024-00001-0,Iterative printing of bulk metal and polymer for additive manufacturing of multi-layer electronic circuits,Zeba Khan; Dheepesh Gururajan; Sabrina Kartmann; Peter Koltay; Roland Zengerle; Zhe Shu,2024,8,1,1,,1,journal-article,,https://doi.org/10.1038/s44334-024-00001-0
10.1038/s44334-024-00003-y,Data-driven modeling of process-structure-property relationships in metal additive manufacturing,Zhaoyang Hu; Wentao Yan,2024,9,1,1,,3,journal-article,,https://doi.org/10.1038/s44334-024-00003-y
10.1038/s44334-024-00009-6,Inaugural Editorial: Advancing the future of manufacturing through innovation and collaboration,Chengying Xu,2024,9,1,1,,4,journal-article,,https://doi.org/10.1038/s44334-024-00009-6
10.1038/s44334-024-00008-7,The effect of volume loading on the extrusion of bimodal glass bead mixtures,Joseph R. Lawrence; Hugh R. Lipic; Timothy D. Manship; Steven F. Son,2024,9,1,1,,5,journal-article,,https://doi.org/10.1038/s44334-024-00008-7
10.1038/s44334-024-00004-x,Nanotechnology enabled casting of aluminum alloy 7075 turbines,Guan-Cheng Chen; Till Felix Reufsteck; Yitian Chi; Xiaochun Li,2024,10,1,1,,6,journal-article,,https://doi.org/10.1038/s44334-024-00004-x
10.1038/s44334-024-00007-8,Polybutadiene structural effects on dynamic wetting,Sahson D. Raissi; Marc A. Magaña; Alexander Contreras; Shiqi Wei; Blair Brettmann; Joseph Kalman,2024,10,1,1,,7,journal-article,,https://doi.org/10.1038/s44334-024-00007-8
10.1038/s44334-024-00006-9,Towards next-gen smart manufacturing systems: the explainability revolution,Puthanveettil Madathil Abhilash; Xichun Luo; Qi Liu; Rajeshkumar Madarkar; Charles Walker,2024,11,1,1,,8,journal-article,,https://doi.org/10.1038/s44334-024-00006-9
10.1038/s44334-024-00005-w,Multi-material vat photopolymerization 3D printing: a review of mechanisms and applications,Saroj Subedi; Siying Liu; Wenbo Wang; S. M. Abu Naser Shovon; Xiangfan Chen; Henry Oliver T. Ware,2024,11,1,1,,9,journal-article,,https://doi.org/10.1038/s44334-024-00005-w
10.1038/s44334-024-00010-z,Energy-efficient and quality-focused control of conveyor belt dryers in petrochemical production,Muhammad Waseem; Kshitij Bhatta; Chen Li; Nabeel Haider; Qing Chang,2024,12,1,1,,10,journal-article,,https://doi.org/10.1038/s44334-024-00010-z
10.1038/s44334-024-00011-y,Bayesian stability and force modeling for uncertain machining processes,Aaron Cornelius; Jaydeep Karandikar; Tony Schmitz,2024,12,1,1,,11,journal-article,,https://doi.org/10.1038/s44334-024-00011-y
10.1038/s44334-024-00012-x,Towards negative carbon footprint: carbon sequestration enabled manufacturing of coral-inspired tough structural composites,Haoxiang Deng; Haixu Du; Ketian Li; Yanchu Zhang; Kyung Hoon Lee; Botong Zheng; Qiming Wang,2025,1,2,1,,1,journal-article,,https://doi.org/10.1038/s44334-024-00012-x
10.1038/s44334-024-00013-w,Advanced 3D printing accelerates electromagnetic wave absorption from ceramic materials to structures,Wenqing Wang; Zengchan Li; Ruyue Su; Yixing Huang; Ying Li; Rujie He,2025,1,2,1,,2,journal-article,,https://doi.org/10.1038/s44334-024-00013-w
