doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1038/s44334-024-00001-0,Iterative printing of bulk metal and polymer for additive manufacturing of multi-layer electronic circuits,Zeba Khan; Dheepesh Gururajan; Sabrina Kartmann; Peter Koltay; Roland Zengerle; Zhe Shu,2024,8,1,1,,1,journal-article,,https://doi.org/10.1038/s44334-024-00001-0
10.1038/s44334-024-00003-y,Data-driven modeling of process-structure-property relationships in metal additive manufacturing,Zhaoyang Hu; Wentao Yan,2024,9,1,1,,3,journal-article,,https://doi.org/10.1038/s44334-024-00003-y
10.1038/s44334-024-00008-7,The effect of volume loading on the extrusion of bimodal glass bead mixtures,Joseph R. Lawrence; Hugh R. Lipic; Timothy D. Manship; Steven F. Son,2024,9,1,1,,5,journal-article,,https://doi.org/10.1038/s44334-024-00008-7
10.1038/s44334-024-00004-x,Nanotechnology enabled casting of aluminum alloy 7075 turbines,Guan-Cheng Chen; Till Felix Reufsteck; Yitian Chi; Xiaochun Li,2024,10,1,1,,6,journal-article,,https://doi.org/10.1038/s44334-024-00004-x
10.1038/s44334-024-00007-8,Polybutadiene structural effects on dynamic wetting,Sahson D. Raissi; Marc A. Magaña; Alexander Contreras; Shiqi Wei; Blair Brettmann; Joseph Kalman,2024,10,1,1,,7,journal-article,,https://doi.org/10.1038/s44334-024-00007-8
10.1038/s44334-024-00012-x,Towards negative carbon footprint: carbon sequestration enabled manufacturing of coral-inspired tough structural composites,Haoxiang Deng; Haixu Du; Ketian Li; Yanchu Zhang; Kyung Hoon Lee; Botong Zheng; Qiming Wang,2025,1,2,1,,1,journal-article,,https://doi.org/10.1038/s44334-024-00012-x
10.1038/s44334-025-00016-1,Distance-controlled direct ink writing of titanium alloy with enhanced shape diversity and controllable porosity,Erick Bandala; Lily Raymond; Kellen Mitchell; Fazlay Rubbi; John Thella; Bankole O. Osho; Amanendra K. Kushwaha; Mohammadreza Elahifard; Ji Su; Xing Zhang; Pradeep L. Menezes; Xiaoliang Wang; Pengbo Chu; Yiliang Liao; Yifei Jin,2025,2,2,1,,4,journal-article,,https://doi.org/10.1038/s44334-025-00016-1
10.1038/s44334-024-00014-9,Tunable TiAl3-reinforced aluminum matrix composites via in-situ reactive printing: insights from operando synchrotron analysis and microstructural characterization,Chenxi Tian; Kaushalendra Singh; Akane Wakai; Adrita Dass; Jenniffer Bustillos; Andrew C. Chuang; Atieh Moridi,2025,2,2,1,,3,journal-article,,https://doi.org/10.1038/s44334-024-00014-9
10.1038/s44334-025-00020-5,"Multi-material laser powder bed fusion: effects of build orientation on defects, material structure and mechanical properties",J. C. Griffis; K. Shahed; K. Meinert; B. Yilmaz; M. Lear; G. Manogharan,2025,3,2,1,,5,journal-article,,https://doi.org/10.1038/s44334-025-00020-5
10.1038/s44334-024-00015-8,High-throughput synthesis of high-entropy alloys via parallelized electric field assisted sintering,Michael Moorehead; Arin S. Preston; Jorgen Rufner; Alex Pomo; Robert Allen Roach,2025,3,2,1,,6,journal-article,,https://doi.org/10.1038/s44334-024-00015-8
10.1038/s44334-025-00018-z,Machine learning image-based analysis for bead geometry prediction in fused granulate fabrication for large format additive manufacturing,Daniele Vanerio; Mario Guagliano; Sara Bagherifard,2025,3,2,1,,8,journal-article,,https://doi.org/10.1038/s44334-025-00018-z
10.1038/s44334-025-00022-3,Localised control of phase formation in a high-carbon low alloy steel by laser powder bed fusion,Karl Peter Davidson; Tan Phuc Le; Linh Lan Nguyen; Jude Emil Pascua Fronda; Ruiliang Liu; Tzee Luai Meng; Yee Yan Tay; Matteo Seita,2025,3,2,1,,11,journal-article,,https://doi.org/10.1038/s44334-025-00022-3
10.1038/s44334-025-00027-y,Evaluating residual stress in additively manufactured nitinol shape memory alloy,Sampreet Rangaswamy; Josiah Cherian Chekotu; Thomas Gillick; Cian Hughes; Jayne Nicholl; David Easton; Caner Şimşir; Dermot Brabazon,2025,4,2,1,,16,journal-article,,https://doi.org/10.1038/s44334-025-00027-y
