doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/0029-5515/7/4/011,Acceleration of a dense jet to thermonuclear velocities by hypervelocity impact,F. Winterberg,1967,12,7,4,289-290,,journal-article,,https://doi.org/10.1088/0029-5515/7/4/011
10.1088/0029-5515/11/5/016,Autocatalytic burning of<sup>6</sup>LiD nuclear fuel via the p+<sup>9</sup>Be resonance reaction,J.R. McNally,1971,10,11,5,554-556,,journal-article,,https://doi.org/10.1088/0029-5515/11/5/016
10.1088/0029-5515/12/4/002,Conditions for the quasi-steady development of self-sustaining nuclear reactions,Ya.I. Kolesnichenko,1972,7,12,4,419-422,,journal-article,,https://doi.org/10.1088/0029-5515/12/4/002
10.1088/0029-5515/14/1/006,The nuclear performance of vanadium as a structural material infusion reactor blankets,D. Steiner,1974,1,14,1,33-44,,journal-article,,https://doi.org/10.1088/0029-5515/14/1/006
10.1088/0029-5515/15/1/005,Distribution function for nuclear fusion reaction products in a stationary thermonuclear reactor,Ya.I. Kolesnichenko,1975,2,15,1,35-37,,journal-article,,https://doi.org/10.1088/0029-5515/15/1/005
10.1088/0029-5515/16/1/010,The D-D nuclear fusion reaction in a hybrid reactor,Ya.I. Kolesnichenko; S.N. Reznik,1976,2,16,1,97-103,,journal-article,,https://doi.org/10.1088/0029-5515/16/1/010
10.1088/0029-5515/16/5/009,Stability of tokamaks with respect to slip motions,E. Rebhan; A. Salat,1976,11,16,5,805-815,,journal-article,,https://doi.org/10.1088/0029-5515/16/5/009
10.1088/0029-5515/18/9/010,Effects of tungsten radiation on the behaviour of PLT tokamak discharges,E. Hinnov; K. Bol; D. Dimock; R.J. Hawryluk; D. Johnson; M. Mattioli; E. Meservey; S. Von Goeler,1978,9,18,9,1305-1307,,journal-article,,https://doi.org/10.1088/0029-5515/18/9/010
10.1088/0029-5515/19/6/007,Non-linear quenching of diamagnetic and gyroviscous effects in tearing modes,D. Biskamp,1979,6,19,6,777-783,,journal-article,,https://doi.org/10.1088/0029-5515/19/6/007
10.1088/0029-5515/20/1/003,Perturbed magnetic-field phase slip for tokamaks,G. Vahala; L. Vahala; J.H. Harris; G. Bateman; B.V. Waddell; J.L. Dunlap; V.K. Paré; R.D. Burris,1980,1,20,1,17-26,,journal-article,,https://doi.org/10.1088/0029-5515/20/1/003
10.1088/0029-5515/21/2/011,Mechanisms responsible for topographical changes in PLT stainless-steel and graphite limiters,S.A. Cohen; R. Budny; G.M. McCracken; M. Ulrickson,1981,2,21,2,233-249,,journal-article,,https://doi.org/10.1088/0029-5515/21/2/011
10.1088/0029-5515/21/8/006,Effects of nuclear elastic scattering on ignition and thermal instability characteristics of D-D fusion reactor plasmas,Y. Nakao; M. Ohta; H. Nakashima,1981,8,21,8,973-979,,journal-article,,https://doi.org/10.1088/0029-5515/21/8/006
10.1088/0029-5515/21/8/013,Improvement of fuel burn-up fraction in a tokamak reactor by installing a palladium-alloy membrane,M. Sugihara; T. Abe,1981,8,21,8,1024-1028,,journal-article,,https://doi.org/10.1088/0029-5515/21/8/013
10.1088/0029-5515/23/2/006,Effect of nuclear elastic scattering on energetic-fusion-product slowing-down,C.K. Choi; M.Y. Hsiao,1983,2,23,2,195-200,,journal-article,,https://doi.org/10.1088/0029-5515/23/2/006
10.1088/0029-5515/24/6/007,Discrete nuclear elastic scattering effects in Cat-D and D-<sup>3</sup>He fusion plasmas,J. Galambos; J. Gilligan; E. Greenspan; P. Stroud; G.H. Miley,1984,6,24,6,739-750,,journal-article,,https://doi.org/10.1088/0029-5515/24/6/007
10.1088/0029-5515/24/8/009,The influence of helium on the bulk properties of fusion reactor structural materials,H. Ullmaier,1984,8,24,8,1039-1083,,journal-article,,https://doi.org/10.1088/0029-5515/24/8/009
10.1088/0029-5515/24/9/002,The kinetics of nuclear processes in hot D<sup>6</sup>Li and DD plasmas,V.T Voronchev; V.I Kukulin; V.M Krasnopol'Skij,1984,9,24,9,1117-1128,,journal-article,,https://doi.org/10.1088/0029-5515/24/9/002
