doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1073/pnas.12.12.675,Extension of Doublet Laws in the First Long Period to chromium and Manganese,R. C. Gibbs; H. E. White,1926,12,12,12,675-677,,journal-article,,https://doi.org/10.1073/pnas.12.12.675
10.1073/pnas.53.5.991,"Protein synthesis by reticulocyte ribosomes, II. The effects of magnesium ion and chloramphenicol on induced protein synthesis.",S M Wolfe; A S Weisberger,1965,5,53,5,991-998,,journal-article,,https://doi.org/10.1073/pnas.53.5.991
10.1073/pnas.54.4.1241,The structural gene for deoxyribonucleic acid polymerase in bacteriophages T4 and T5.,A De Waard; A V Paul; I R Lehman,1965,10,54,4,1241-1248,,journal-article,,https://doi.org/10.1073/pnas.54.4.1241
10.1073/pnas.54.4.1254,A structural gene mutation in Salmonella typhimurium resulting in repressibility of adenylosuccinase.,M A Berberich; J S Gots,1965,10,54,4,1254-1261,,journal-article,,https://doi.org/10.1073/pnas.54.4.1254
10.1073/pnas.54.4.1133,Mechanism of action of penicillins: a proposal based on their structural similarity to acyl-D-alanyl-D-alanine.,D J Tipper; J L Strominger,1965,10,54,4,1133-1141,,journal-article,,https://doi.org/10.1073/pnas.54.4.1133
10.1073/pnas.55.1.114,Hybridization of mitochondrial RNA with mitochondrial and nuclear DNA in agar.,D G Humm; J H Humm,1966,1,55,1,114-119,,journal-article,,https://doi.org/10.1073/pnas.55.1.114
10.1073/pnas.55.4.872,Alterations of a maternally inherited mitochondrial structural protein in respiratory-deficient strains of Neurospora.,D O Woodward; K D Munkres,1966,4,55,4,872-880,,journal-article,,https://doi.org/10.1073/pnas.55.4.872
10.1073/pnas.55.4.941,Renaturation of transfer ribonucleic acids through site binding of magnesium.,T Lindahl; A Adams; J R Fresco,1966,4,55,4,941-948,,journal-article,,https://doi.org/10.1073/pnas.55.4.941
10.1073/pnas.55.6.1498,The structural gene for yeast cytochrome C.,F Sherman; J W Stewart; E Margoliash; J Parker; W Campbell,1966,6,55,6,1498-1504,,journal-article,,https://doi.org/10.1073/pnas.55.6.1498
10.1073/pnas.56.2.616,High molecular weight nonribosomal-type nuclear RNA and cytoplasmic messenger RNA in HeLa cells.,J F Houssais; G Attardi,1966,8,56,2,616-623,,journal-article,,https://doi.org/10.1073/pnas.56.2.616
10.1073/pnas.56.2.686,Evidence for depression of nuclear protein synthesis and concomitant stimulation of nuclear RNA synthesis during early estrogen action.,A R Means; T H Hamilton,1966,8,56,2,686-693,,journal-article,,https://doi.org/10.1073/pnas.56.2.686
10.1073/pnas.56.3.872,Characteristics of the renal nuclear receptors for aldosterone.,D D Fanestil; I S Edelman,1966,9,56,3,872-879,,journal-article,,https://doi.org/10.1073/pnas.56.3.872
10.1073/pnas.56.5.1594,Early estrogen action: concomitant stimulations within two minutes of nuclear RNA synthesis and uptake of RNA precursor by the uterus.,A R Means; T H Hamilton,1966,11,56,5,1594-1598,,journal-article,,https://doi.org/10.1073/pnas.56.5.1594
10.1073/pnas.57.1.156,Hybridization of Euglena gracilis chloroplast and nuclear DNA.,O C Richards,1967,1,57,1,156-163,,journal-article,,https://doi.org/10.1073/pnas.57.1.156
10.1073/pnas.57.5.1386,Purification and properties of a nuclear exoribonuclease from Ehrlich ascites tumor cells.,H M Lazarus; M B Sporin,1967,5,57,5,1386-1393,,journal-article,,https://doi.org/10.1073/pnas.57.5.1386
10.1073/pnas.57.5.1379,Molecular complementarity between nuclear DNA and organ-specific chromosomal RNA.,J Bonner; J Widholm,1967,5,57,5,1379-1385,,journal-article,,https://doi.org/10.1073/pnas.57.5.1379
10.1073/pnas.57.5.1514,A dye-buoyant-density method for the detection and isolation of closed circular duplex DNA: the closed circular DNA in HeLa cells.,R Radloff; W Bauer; J Vinograd,1967,5,57,5,1514-1521,,journal-article,,https://doi.org/10.1073/pnas.57.5.1514
10.1073/pnas.58.1.320,Studies on HeLa cell nuclear DNA-like RNA by RNA-DNA hybridization.,H C Birnboim; J J Pène; J E Darnell,1967,7,58,1,320-327,,journal-article,,https://doi.org/10.1073/pnas.58.1.320
10.1073/pnas.58.1.123,Autoradiographic demonstration of H-3-methylcholanthrene labeling of nuclear components of Syrian hamster cells in vitro.,J A DiPaolo; M R Banerjee,1967,7,58,1,123-126,,journal-article,,https://doi.org/10.1073/pnas.58.1.123
10.1073/pnas.58.2.665,Enzymatic breakage and joining of deoxyribonucleic acid. II. The structural gene for polynucleotide ligase in bacteriophage T4.,G C Fareed; C C Richardson,1967,8,58,2,665-672,,journal-article,,https://doi.org/10.1073/pnas.58.2.665
10.1073/pnas.58.2.545,On the origin and persistence of a cytoplasmic state inducing nuclear DNA synthesis in frogs' eggs.,J B Gurdon,1967,8,58,2,545-552,,journal-article,,https://doi.org/10.1073/pnas.58.2.545
10.1073/pnas.58.2.533,The relationship of DNA content to nuclear and chromosome volumes and to radiosensitivity (LD50).,K P Baetcke; A H Sparrow; C H Nauman; S S Schwemmer,1967,8,58,2,533-540,,journal-article,,https://doi.org/10.1073/pnas.58.2.533
10.1073/pnas.58.2.447,Investigation of a hapten-antibody complex by nuclear magnetic resonance.,A S Burgen; O Jardetzky; J C Metcalfe; N Wade-Jardetzky,1967,8,58,2,447-453,,journal-article,,https://doi.org/10.1073/pnas.58.2.447
10.1073/pnas.58.4.1292,Aggregation-induced red shift of the Cotton effect of mitochondrial structural protein.,J M Steim; S Fleischer,1967,10,58,4,1292-1298,,journal-article,,https://doi.org/10.1073/pnas.58.4.1292
10.1073/pnas.58.4.1548,Changes in nuclear and cytoplasmic RNA in regenerating mouse liver.,R Church; B J McCarthy,1967,10,58,4,1548-1555,,journal-article,,https://doi.org/10.1073/pnas.58.4.1548
10.1073/pnas.58.6.2393,Studies on the structural basis of the interaction of myosin and actin.,M Young,1967,12,58,6,2393-2400,,journal-article,,https://doi.org/10.1073/pnas.58.6.2393
10.1073/pnas.59.2.569,Function of chloroplast DNA. I. Hybridization studies involving nuclear and chloroplast DNA with RNA from cytoplasmic (80S) and chloroplast (70S) ribosomes.,K K Tewari; S G Wildman,1968,2,59,2,569-576,,journal-article,,https://doi.org/10.1073/pnas.59.2.569
10.1073/pnas.59.3.792,"Suppressor gene Su3+ of E. coli, a structural gene for tyrosine TRNA.",T Andoh; H Ozeki,1968,3,59,3,792-799,,journal-article,,https://doi.org/10.1073/pnas.59.3.792
10.1073/pnas.59.4.1265,Early estrogen action: nuclear synthesis and accumulation of protein correlated with enhancement of two DNA-dependent RNA polymerase activities.,T H Hamilton; C S Teng; A R Means,1968,4,59,4,1265-1272,,journal-article,,https://doi.org/10.1073/pnas.59.4.1265
10.1073/pnas.60.2.537,Evidence for multiple structural genes for the gamma chain of human fetal hemoglobin.,W A Schroeder; T H Huisman; J R Shelton; J B Shelton; E F Kleihauer; A M Dozy; B Robberson,1968,6,60,2,537-544,,journal-article,,https://doi.org/10.1073/pnas.60.2.537
10.1073/pnas.60.3.766,Assignment of the histidine peaks in the nuclear magnetic resonance spectrum of ribonuclease.,D H Meadows; O Jardetzky; R M Epand; H H Ruterjans; H A Scheraga,1968,7,60,3,766-772,,journal-article,,https://doi.org/10.1073/pnas.60.3.766
10.1073/pnas.60.4.1527,Studies on the mechanism of estrogen-mediated tissue differentiation: regulation of nuclear transcription and induction of new RNA species.,B W O'Malley; W L McGuire,1968,8,60,4,1527-1534,,journal-article,,https://doi.org/10.1073/pnas.60.4.1527
10.1073/pnas.61.1.253,Evidence for the involvement of a nuclear gene in the productin of the mitochondrial leucyl-tRNA synthetase of Neurospora.,S R Gross; M T McCoy; E B Gilmore,1968,9,61,1,253-260,,journal-article,,https://doi.org/10.1073/pnas.61.1.253
10.1073/pnas.61.1.308,"Transfer RNA, II. A structural basis for alanine acceptor activity.",L H Schulman; R W Chambers,1968,9,61,1,308-315,,journal-article,,https://doi.org/10.1073/pnas.61.1.308
10.1073/pnas.61.2.734,A conformational analysis of gramicidin S-A by nuclear magnetic resonance.,A Stern; W A Gibbons; L C Craig,1968,10,61,2,734-741,,journal-article,,https://doi.org/10.1073/pnas.61.2.734
10.1073/pnas.61.3.1005,Dissolution of erythrocyte membranes in water and comparison of the membrane protein with other structural proteins.,D Mazia; A Ruby,1968,11,61,3,1005-1012,,journal-article,,https://doi.org/10.1073/pnas.61.3.1005
10.1073/pnas.61.3.1079,The state of magnesium in cells as estimated from the adenylate kinase equilibrium.,I A Rose,1968,11,61,3,1079-1086,,journal-article,,https://doi.org/10.1073/pnas.61.3.1079
10.1073/pnas.61.4.1243,Fluorescence and photochemical quenching in photosynthetic reaction centers.,K L Zankel; D W Reed; R K Clayton,1968,12,61,4,1243-1249,,journal-article,,https://doi.org/10.1073/pnas.61.4.1243
10.1073/pnas.71.7.2919-b,Differential metabolism of large and small poly(A) sequences in the heterogeneous nuclear RNA of HeLa cells,,1974,7,71,7,2919-2919,,journal-article,,https://doi.org/10.1073/pnas.71.7.2919-b
10.1073/pnas.71.9.3763-d,Particle movements in chloroplast membranes: Quantitative measurements of membrane fluidity by the freeze-fracture technique,,1974,9,71,9,3763-3763,,journal-article,,https://doi.org/10.1073/pnas.71.9.3763-d
10.1073/pnas.72.1.301,Ribonucleoprotein particles containing heterogeneous nuclear RNA in the cellular slime mold Dictyostelium discoideum.,R A Firtel; T Pederson,1975,1,72,1,301-305,,journal-article,,https://doi.org/10.1073/pnas.72.1.301
10.1073/pnas.72.1.348,"Distinct molecular structures of nuclear class I, II, and III DNA-dependent RNA polymerases.",V E Sklar; L B Schwartz; R G Roeder,1975,1,72,1,348-352,,journal-article,,https://doi.org/10.1073/pnas.72.1.348
10.1073/pnas.72.2.454,13-C nuclear magnetic resonance studies on the mechanism of action of carbonic anhydrase.,P L Yeagle; C H Lochmüller; R W Henkens,1975,2,72,2,454-458,,journal-article,,https://doi.org/10.1073/pnas.72.2.454
10.1073/pnas.72.3.859,RNA-directed DNA synthesis by the DNA polymerase of Rous sarcoma virus: structural and functional identification of 4S primer RNA in uninfected cells.,A J Faras; N A Dibble,1975,3,72,3,859-863,,journal-article,,https://doi.org/10.1073/pnas.72.3.859
10.1073/pnas.72.3.1007,Isolation of nuclear pore complexes in association with a lamina.,R P Aaronson; G Blobel,1975,3,72,3,1007-1011,,journal-article,,https://doi.org/10.1073/pnas.72.3.1007
10.1073/pnas.72.5.1868,Identification of human RNA transcripts among heterogeneous nuclear RNA from man-mouse somatic cell hybrids.,R A Di Cioccio; R Voss; M Krim; K H Grzeschik; M Siniscalco,1975,5,72,5,1868-1872,,journal-article,,https://doi.org/10.1073/pnas.72.5.1868
10.1073/pnas.72.5.1695,A structural change of the plasma membrane induced by oncogenic viruses: quantitative studies with the freeze-fracture technique.,G Torpier; L Montagnier; J M Biquard; P Vigier,1975,5,72,5,1695-1698,,journal-article,,https://doi.org/10.1073/pnas.72.5.1695
10.1073/pnas.72.6.1989,Third component of complement (C3): structural properties in relation to functions.,V A Bokisch; M P Dierich; H J Mūller-Eberhard,1975,6,72,6,1989-1993,,journal-article,,https://doi.org/10.1073/pnas.72.6.1989
10.1073/pnas.72.6.2437,Cytoplasmic control of nuclear DNA synthesis during early development of Xenopus laevis: a cell-free assay.,R M Benbow; C C Ford,1975,6,72,6,2437-2441,,journal-article,,https://doi.org/10.1073/pnas.72.6.2437
10.1073/pnas.72.6.2217,Nuclear magnetic resonance spectrum of living tunicate blood cells and the structure of the native vanadium chromogen.,R M Carlson,1975,6,72,6,2217-2221,,journal-article,,https://doi.org/10.1073/pnas.72.6.2217
10.1073/pnas.72.6.2095,Detection of new temperature-dependent conformational transition in lysozyme by carbon-13 nuclear magnetic resonance spectroscopy.,P J Cozzone; S J Opella; O Jardetzky; J Berthou; P Jollès,1975,6,72,6,2095-2098,,journal-article,,https://doi.org/10.1073/pnas.72.6.2095
10.1073/pnas.72.6.2088,Atomic structure of intracellular amorphous calcium phosphate deposits.,F Betts; N C Blumenthal; A S Posner; G L Becker; A L Lehninger,1975,6,72,6,2088-2090,,journal-article,,https://doi.org/10.1073/pnas.72.6.2088
10.1073/pnas.72.6.2340,X-ray absorption spectroscopy using synchrotron radiation for structural investigation of organometallic molecules of biological interest.,B M Kincaid; P Eisenberger; K O Hodgson; S Doniach,1975,6,72,6,2340-2342,,journal-article,,https://doi.org/10.1073/pnas.72.6.2340
10.1073/pnas.72.7.2785,Evolutionary and structural influences on light chain constant (CL) region of human and mouse immunoglobulins.,E A Kabat; E A Padlan; D R Davies,1975,7,72,7,2785-2788,,journal-article,,https://doi.org/10.1073/pnas.72.7.2785
10.1073/pnas.72.7.2582,Proton nuclear magnetic resonance of spin-labeled Escherichia coli tRNAf1MET.,W E Daniel; M Cohn,1975,7,72,7,2582-2586,,journal-article,,https://doi.org/10.1073/pnas.72.7.2582
10.1073/pnas.72.7.2738,Conditional-lethal mutations that suppress genetic defects in morphogenesis by altering structural proteins.,J Jarvik; D Botstein,1975,7,72,7,2738-2742,,journal-article,,https://doi.org/10.1073/pnas.72.7.2738
10.1073/pnas.72.7.2765,New chromosomal location for structural genes of ribosomal proteins.,R J Watson; J Parker; N P Fiil; J G Flaks; J D Friesen,1975,7,72,7,2765-2769,,journal-article,,https://doi.org/10.1073/pnas.72.7.2765
10.1073/pnas.72.8.2930,Synthesis of RNA containing a methylated blocked 5′ terminus by HeLa nuclear homogenates,Yoram Groner; Jerard Hurwitz,1975,8,72,8,2930-2934,,journal-article,,https://doi.org/10.1073/pnas.72.8.2930
10.1073/pnas.72.8.3134,Chromatin and DNA synthesis associated with nuclear membrane in germinating cotton.,W F Clay; F R Katterman; P G Bartels,1975,8,72,8,3134-3138,,journal-article,,https://doi.org/10.1073/pnas.72.8.3134
10.1073/pnas.72.8.2955,"ATP, cyclic AMP, and magnesium increase the affinity of rat striatal tyrosine hydroxylase for its cofactor.",W Lovenberg; E A Bruckwick; I Hanbauer,1975,8,72,8,2955-2958,,journal-article,,https://doi.org/10.1073/pnas.72.8.2955
10.1073/pnas.72.8.2989,Role of magnesium in Escherichia coli alkaline phosphatase.,R A Anderson; W F Bosron; F S Kennedy; B L Vallee,1975,8,72,8,2989-2993,,journal-article,,https://doi.org/10.1073/pnas.72.8.2989
10.1073/pnas.72.9.3580,Relationship between nuclear and cytoplasmic poly(adenylic acid).,B P Brandhorst; E H McConkey,1975,9,72,9,3580-3584,,journal-article,,https://doi.org/10.1073/pnas.72.9.3580
10.1073/pnas.72.9.3421,Carbon-13 nuclear magnetic resonance study of chondroitin 4-sulfate in the proteoglycan of bovine nasal cartilage.,C F Brewer; H Keiser,1975,9,72,9,3421-3423,,journal-article,,https://doi.org/10.1073/pnas.72.9.3421
10.1073/pnas.72.9.3477,Headgroup conformation and lipid--cholesterol association in phosphatidylcholine vesicles: a 31P(1H) nuclear Overhauser effect study.,P L Yeagle; W C Hutton; C H Huang; R B Martin,1975,9,72,9,3477-3481,,journal-article,,https://doi.org/10.1073/pnas.72.9.3477
10.1073/pnas.72.9.3290,Dynamics of a protein matrix revealed by fluorescence quenching.,M R Eftink; C A Ghiron,1975,9,72,9,3290-3294,,journal-article,,https://doi.org/10.1073/pnas.72.9.3290
10.1073/pnas.72.9.3692,[13C]Valine metabolism in methylmalonicacidemia using nuclear magnetic resonance: propinonate as an obligate intermediate.,K Tanaka; I M Armitage; H S Ramsdell; Y E Hsia; S R Lipsky; L E Rosenberg,1975,9,72,9,3692-3696,,journal-article,,https://doi.org/10.1073/pnas.72.9.3692
10.1073/pnas.72.9.3265,Photooxidation of chlorins by quinones studied by nuclear magnetic resonance techniques,Angelo A. Lamola; Marcia L. Manion; Heinz D. Roth; Gordon Tollin,1975,9,72,9,3265-3269,,journal-article,,https://doi.org/10.1073/pnas.72.9.3265
10.1073/pnas.72.9.3551,Central role for magnesium in coordinate control of metabolism and growth in animal cells.,H Rubin,1975,9,72,9,3551-3555,,journal-article,,https://doi.org/10.1073/pnas.72.9.3551
10.1073/pnas.72.10.4046,Membrane particles on fracture faces of frozen myelin.,P P da Silva; R G Miller,1975,10,72,10,4046-4050,,journal-article,,https://doi.org/10.1073/pnas.72.10.4046
10.1073/pnas.72.10.3966,"Dynamic and static quenching of 1,N6-ethenoadenine fluorescence in nicotinamide 1,N6-ethenoadenine dinucleotide and in 1,N6-etheno-9-(3-(indol-3-yl) propyl) adenine.",B A Gruber; N J Leonard,1975,10,72,10,3966-3969,,journal-article,,https://doi.org/10.1073/pnas.72.10.3966
10.1073/pnas.72.11.4450,Selective effects of inhibitors of protein synthesis on metabolism of nuclear anc cytoplasmic proteins: evidence for coordinate synthesis of non-histone chromosomal proteins.,G Vidali; J Karn; V G Allfrey,1975,11,72,11,4450-4454,,journal-article,,https://doi.org/10.1073/pnas.72.11.4450
10.1073/pnas.72.11.4228,Effects of estrogen on gene expression in chick oviduct: nuclear receptor levels and initiation of transcription.,S Y Tsai; M J Tsai; R Schwartz; M Kalimi; J H Clark; B W O'Malley,1975,11,72,11,4228-4232,,journal-article,,https://doi.org/10.1073/pnas.72.11.4228
10.1073/pnas.72.11.4205,Collisional energy transfer and quenching of electronic excitation,S. H. Lin; H. Eyring,1975,11,72,11,4205-4208,,journal-article,,https://doi.org/10.1073/pnas.72.11.4205
10.1073/pnas.72.12.4871,Cytoplasmic and nuclear binding components for 1alpha25-dihydroxyvitamin D3 in chick parathyroid glands.,P F Brumbaugh; M R Hughes; M R Haussler,1975,12,72,12,4871-4875,,journal-article,,https://doi.org/10.1073/pnas.72.12.4871
10.1073/pnas.72.12.4966,High resolution 31P nuclear magnetic resonance studies of intact yeast cells.,J M Salhany; T Yamane; R G Shulman; S Ogawa,1975,12,72,12,4966-4970,,journal-article,,https://doi.org/10.1073/pnas.72.12.4966
10.1073/pnas.72.12.5051,A structural gene mutation affecting the regulatory subunit of cyclic AMP-dependent protein kinase in mouse lymphoma cells.,J Hochman; P A Insel; H R Bourne; P Coffino; G M Tomkins,1975,12,72,12,5051-5055,,journal-article,,https://doi.org/10.1073/pnas.72.12.5051
10.1073/pnas.72.12.4948,13C-nuclear magnetic resonance study of [85% 13C-enriched proline]thyrotropin releasing factor: 13C-13C vicinal coupling constants and conformation of the proline residue.,W Haar; S Fermandjian; J Vicar; K Blaha; P Fromageot,1975,12,72,12,4948-4952,,journal-article,,https://doi.org/10.1073/pnas.72.12.4948
10.1073/pnas.72.12.4696,Applications of natural-abundance nitrogen-15 nuclear magnetic resonance to large biochemically important molecules.,D Gust; R B Moon; J D Roberts,1975,12,72,12,4696-4700,,journal-article,,https://doi.org/10.1073/pnas.72.12.4696
10.1073/pnas.73.1.168,Mutual potentiation by magnesium and calcium of growth in animal cells.,H Rubin; T Koide,1976,1,73,1,168-172,,journal-article,,https://doi.org/10.1073/pnas.73.1.168
10.1073/pnas.73.4.1058,Activation and nuclear translocation of protein kinase during transsynaptic induction of tyrosine 3-monooxygenase.,E Costa; A Kurosawa; A Guidotti,1976,4,73,4,1058-1062,,journal-article,,https://doi.org/10.1073/pnas.73.4.1058
10.1073/pnas.73.5.1409,15N nuclear magnetic resonance investigations on amino acids.,F Blomberg; W Maurer; H Rüterjans,1976,5,73,5,1409-1413,,journal-article,,https://doi.org/10.1073/pnas.73.5.1409
10.1073/pnas.73.5.1594,An enzyme system for replication of duplex circular DNA: the replicative form of phage phi X174.,S Eisenberg; J F Scott; A Kornberg,1976,5,73,5,1594-1597,,journal-article,,https://doi.org/10.1073/pnas.73.5.1594
10.1073/pnas.73.5.1389,Spectroscopic studies and a structural model for blue copper centers in proteins.,E I Solomon; J W Hare; H B Gray,1976,5,73,5,1389-1393,,journal-article,,https://doi.org/10.1073/pnas.73.5.1389
10.1073/pnas.73.5.1576,Bacteriophage T5-induced endonucleases that introduce site-specific single-chain interruptions in duplex DNA.,S G Rogers; M Rhoades,1976,5,73,5,1576-1580,,journal-article,,https://doi.org/10.1073/pnas.73.5.1576
10.1073/pnas.73.5.1466,Synthesis of nuclear proteins during DNA repair synthesis in human diploid fibroblasts damaged with ultraviolet radiation of N-acetoxy-2-acetylaminofluroene.,G S Stein; W D Park; J L Stein; M W Lieberman,1976,5,73,5,1466-1470,,journal-article,,https://doi.org/10.1073/pnas.73.5.1466
10.1073/pnas.73.5.1394,Uncoupling of local field spectra in nuclear magnetic resonance: determination of atomic positions in solids.,J S Waugh,1976,5,73,5,1394-1397,,journal-article,,https://doi.org/10.1073/pnas.73.5.1394
10.1073/pnas.73.6.1979,Observation of individual carboxyl groups in hen egg-white lysozyme by use of high field 13C-nuclear magnetic resonance.,H Shindo; J S Cohen,1976,6,73,6,1979-1983,,journal-article,,https://doi.org/10.1073/pnas.73.6.1979
10.1073/pnas.73.6.1974,Conformational flexibility and protein folding: rigid structural fragments connected by flexible joints in subtilisin BPN.,B Honig; A Ray; C Levinthal,1976,6,73,6,1974-1978,,journal-article,,https://doi.org/10.1073/pnas.73.6.1974
10.1073/pnas.73.7.2346,Chick cytoplasmic actin and muscle actin have different structural genes.,R V Storti; A Rich,1976,7,73,7,2346-2350,,journal-article,,https://doi.org/10.1073/pnas.73.7.2346
10.1073/pnas.73.8.2725,Detection of mRNA sequences in nuclear 30S ribonucleoprotein subcomplexes.,A J Kinniburgh; T E Martin,1976,8,73,8,2725-2729,,journal-article,,https://doi.org/10.1073/pnas.73.8.2725
10.1073/pnas.73.8.2823,Freeze-fracture study of mast cell secretion.,E Y Chi; D Lagunoff; J K Koehler,1976,8,73,8,2823-2827,,journal-article,,https://doi.org/10.1073/pnas.73.8.2823
10.1073/pnas.73.9.3030,Circular DNA of a yeast episome with two inverted repeats: structural analysis by a restriction enzyme and electron microscopy.,M Guerineau; C Grandchamp; P P Slonimski,1976,9,73,9,3030-3034,,journal-article,,https://doi.org/10.1073/pnas.73.9.3030
10.1073/pnas.73.9.3151,Enzymatic replication of viral and complementary strands of duplex DNA of phage phiX174 proceeds by seprate mechanisms.,S Eisenberg; J F Scott; A Kornberg,1976,9,73,9,3151-3155,,journal-article,,https://doi.org/10.1073/pnas.73.9.3151
10.1073/pnas.73.9.3146,A general method for cloning eukaryotic structural gene sequences.,R Higuchi; G V Paddock; R Wall; W Salser,1976,9,73,9,3146-3150,,journal-article,,https://doi.org/10.1073/pnas.73.9.3146
10.1073/pnas.73.9.3220,Mechanism of nuclear DNA replication in radicles of germinating cotton,Willard F. Clay; Paul G. Bartels; Frank R. H. Katterman,1976,9,73,9,3220-3223,,journal-article,,https://doi.org/10.1073/pnas.73.9.3220
10.1073/pnas.73.10.3343,Ethidium bromide-(dC-dG-dC-dG)2 complex in solution: intercalation and sequence specificity of drug binding at the tetranucleotide duplex level.,D J Patel; L L Canuel,1976,10,73,10,3343-3347,,journal-article,,https://doi.org/10.1073/pnas.73.10.3343
10.1073/pnas.73.10.3360,A structural model of radiation effects in living cells.,J Neyman; P S Puri,1976,10,73,10,3360-3363,,journal-article,,https://doi.org/10.1073/pnas.73.10.3360
10.1073/pnas.73.10.3484,Absence of low-molecular-weight alpha crystallin in nuclear region of old human lenses.,D Roy; A Spector,1976,10,73,10,3484-3487,,journal-article,,https://doi.org/10.1073/pnas.73.10.3484
10.1073/pnas.73.10.3651,A mutant of Saccharomyces cerevisiae defective for nuclear fusion.,J Conde; G R Fink,1976,10,73,10,3651-3655,,journal-article,,https://doi.org/10.1073/pnas.73.10.3651
10.1073/pnas.73.10.3492,Amplification in Escherichia coli of enzymes involved in genetic recombination: construction of hybrid ColE1 plasmids carrying the structural gene for exonuclease I.,D Vapnek; N K Alton; C L Bassett; S R Kushner,1976,10,73,10,3492-3496,,journal-article,,https://doi.org/10.1073/pnas.73.10.3492
10.1073/pnas.73.10.3471,lac repressor: 3-fluorotyrosine substitution for nuclear magnetic resonance studies.,P Lu; M Jarema; K Mosser; W E Daniel,1976,10,73,10,3471-3475,,journal-article,,https://doi.org/10.1073/pnas.73.10.3471
10.1073/pnas.73.11.3877,Dose-dependent depletion of nuclear receptors by L-triiodothyronine: evidence for a role in induction of growth hormone synthesis in cultured GH1 cells.,H H Samuels; F Stanley; L E Shapiro,1976,11,73,11,3877-3881,,journal-article,,https://doi.org/10.1073/pnas.73.11.3877
10.1073/pnas.73.11.4125,Superstructure of linear duplex DNA.,H J Vollenweider; T Koller; J Parello; J M Sogo,1976,11,73,11,4125-4129,,journal-article,,https://doi.org/10.1073/pnas.73.11.4125
10.1073/pnas.73.12.4379,Amino-terminal sequences of two polypeptides from human serum with nonsuppressible insulin-like and cell-growth-promoting activities: evidence for structural homology with insulin B chain.,E Rinderknecht; R E Humbel,1976,12,73,12,4379-4381,,journal-article,,https://doi.org/10.1073/pnas.73.12.4379
10.1073/pnas.73.12.4446,Phosphorus nuclear magnetic resonance studies on normoxic and ischemic cardiac tissue.,D G Gadian; D I Hoult; G K Radda; P J Seeley; B Chance; C Barlow,1976,12,73,12,4446-4448,,journal-article,,https://doi.org/10.1073/pnas.73.12.4446
10.1073/pnas.73.12.4277,"Free acid, anion, alkali, and alkaline earth complexes of lasalocid a (X537A) in methanol: structural and kinetic studies at the monomer level.",C Shen; D J Patel,1976,12,73,12,4277-4281,,journal-article,,https://doi.org/10.1073/pnas.73.12.4277
10.1073/pnas.74.1.193,A mechanism of duplex DNA replication revealed by enzymatic studies of phage phi X174: catalytic strand separation in advance of replication.,J F Scott; S Eisenberg; L L Bertsch; A Kornberg,1977,1,74,1,193-197,,journal-article,,https://doi.org/10.1073/pnas.74.1.193
10.1073/pnas.74.1.87,31P nuclear magnetic resonance studies of Ehrlich ascites tumor cells.,G Navon; S Ogawa; R G Shulman; T Yamane,1977,1,74,1,87-91,,journal-article,,https://doi.org/10.1073/pnas.74.1.87
10.1073/pnas.74.1.363,Transient induction of a nuclear antigen unrelated to Epstein-Barr nuclear antigen in cells of two human B-lymphoma lines converted by Epstein-Barr virus.,K O Fresen; H zur Hausen,1977,1,74,1,363-366,,journal-article,,https://doi.org/10.1073/pnas.74.1.363
10.1073/pnas.74.1.92,Activation of cardiac adenylate cyclase: horminal modification of the magnesium ion requirement.,R Alvarez; J J Bruno,1977,1,74,1,92-95,,journal-article,,https://doi.org/10.1073/pnas.74.1.92
10.1073/pnas.74.2.452,Lipid and protein segregation in Escherichia coli membrane: morphological and structural study of different cytoplasmic membrane fractions.,L Letellier; H Moudden; E Shechter,1977,2,74,2,452-456,,journal-article,,https://doi.org/10.1073/pnas.74.2.452
10.1073/pnas.74.2.759,Macromolecular factor VIII complex: functional and structural heterogeneity observed in von Willebrand swine with transfusion.,T R Griggs; J S Potter; S B McClanahan; W P Webster; K M Brinkhous,1977,2,74,2,759-763,,journal-article,,https://doi.org/10.1073/pnas.74.2.759
10.1073/pnas.74.3.1301-b,Amino-terminal sequences of two polypeptides from human serum with nonsuppressible insulin-like and cell-growth-promoting activities: Evidence for structural homology with insulin B chain,,1977,3,74,3,1301-1301,,journal-article,,https://doi.org/10.1073/pnas.74.3.1301-b
10.1073/pnas.74.3.1024,Human placental lactogen mRNA and its structural genes during pregnancy: quantitation with a complementary DNA.,D McWilliams; R C Callahan; I Boime,1977,3,74,3,1024-1027,,journal-article,,https://doi.org/10.1073/pnas.74.3.1024
10.1073/pnas.74.3.856,31P nuclear magnetic resonance studies of glycogen phosphorylase from rabbit skeletal muscle: ionization states of pyridoxal 5'-phosphate.,K Feldmann; W E Hull,1977,3,74,3,856-860,,journal-article,,https://doi.org/10.1073/pnas.74.3.856
10.1073/pnas.74.3.946,Regulation of hepatic nuclear guanylate cyclase.,H S Earp; P Smith; S H Huang Ong; A L Steiner,1977,3,74,3,946-950,,journal-article,,https://doi.org/10.1073/pnas.74.3.946
