volume,issue,year,issue_date,article_count,toc_url
1,1,2015,2015-02-06,13,https://www.science.org/toc/sciadv/1/1
1,2,2015,2015-03-06,16,https://www.science.org/toc/sciadv/1/2
1,3,2015,2015-04-03,17,https://www.science.org/toc/sciadv/1/3
1,4,2015,2015-05,20,https://www.science.org/toc/sciadv/1/4
1,5,2015,2015-06-05,19,https://www.science.org/toc/sciadv/1/5
1,6,2015,2015-07-03,25,https://www.science.org/toc/sciadv/1/6
1,7,2015,2015-08-07,22,https://www.science.org/toc/sciadv/1/7
1,8,2015,2015-09-04,33,https://www.science.org/toc/sciadv/1/8
1,9,2015,2015-10-02,46,https://www.science.org/toc/sciadv/1/9
1,10,2015,2015-11-06,32,https://www.science.org/toc/sciadv/1/10
1,11,2015,2015-12-04,23,https://www.science.org/toc/sciadv/1/11
2,1,2016,2016-01,29,https://www.science.org/toc/sciadv/2/1
2,2,2016,2016-02-05,37,https://www.science.org/toc/sciadv/2/2
2,3,2016,2016-03-04,45,https://www.science.org/toc/sciadv/2/3
2,4,2016,2016-04,54,https://www.science.org/toc/sciadv/2/4
2,5,2016,2016-05-06,41,https://www.science.org/toc/sciadv/2/5
2,6,2016,2016-06-03,36,https://www.science.org/toc/sciadv/2/6
2,7,2016,2016-07,40,https://www.science.org/toc/sciadv/2/7
2,8,2016,2016-08-05,48,https://www.science.org/toc/sciadv/2/8
2,9,2016,2016-09-02,45,https://www.science.org/toc/sciadv/2/9
2,10,2016,2016-10-07,48,https://www.science.org/toc/sciadv/2/10
2,11,2016,2016-11-04,50,https://www.science.org/toc/sciadv/2/11
2,12,2016,2016-12-02,29,https://www.science.org/toc/sciadv/2/12
3,1,2017,2017-01-06,34,https://www.science.org/toc/sciadv/3/1
3,2,2017,2017-02-03,44,https://www.science.org/toc/sciadv/3/2
3,3,2017,2017-03-03,64,https://www.science.org/toc/sciadv/3/3
3,4,2017,2017-04-07,60,https://www.science.org/toc/sciadv/3/4
3,5,2017,2017-05-05,74,https://www.science.org/toc/sciadv/3/5
3,6,2017,2017-06-02,83,https://www.science.org/toc/sciadv/3/6
3,7,2017,2017-07-07,65,https://www.science.org/toc/sciadv/3/7
3,8,2017,2017-08-04,74,https://www.science.org/toc/sciadv/3/8
3,9,2017,2017-09,80,https://www.science.org/toc/sciadv/3/9
3,10,2017,2017-10-06,59,https://www.science.org/toc/sciadv/3/10
3,11,2017,2017-11-03,64,https://www.science.org/toc/sciadv/3/11
3,12,2017,2017-12,55,https://www.science.org/toc/sciadv/3/12
4,1,2018,2018-01-05,72,https://www.science.org/toc/sciadv/4/1
4,2,2018,2018-02-02,73,https://www.science.org/toc/sciadv/4/2
4,3,2018,2018-03-02,82,https://www.science.org/toc/sciadv/4/3
4,4,2018,2018-04-06,72,https://www.science.org/toc/sciadv/4/4
4,5,2018,2018-05-04,83,https://www.science.org/toc/sciadv/4/5
4,6,2018,2018-06,85,https://www.science.org/toc/sciadv/4/6
4,7,2018,2018-07-06,73,https://www.science.org/toc/sciadv/4/7
4,8,2018,2018-08-03,88,https://www.science.org/toc/sciadv/4/8
4,9,2018,2018-09-07,70,https://www.science.org/toc/sciadv/4/9
4,10,2018,2018-10-05,83,https://www.science.org/toc/sciadv/4/10
4,11,2018,2018-11-02,79,https://www.science.org/toc/sciadv/4/11
4,12,2018,2018-12-07,54,https://www.science.org/toc/sciadv/4/12
5,1,2019,2019-01-04,94,https://www.science.org/toc/sciadv/5/1
5,2,2019,2019-02,81,https://www.science.org/toc/sciadv/5/2
5,3,2019,2019-03,98,https://www.science.org/toc/sciadv/5/3
5,4,2019,2019-04-05,99,https://www.science.org/toc/sciadv/5/4
5,5,2019,2019-05-03,124,https://www.science.org/toc/sciadv/5/5
5,6,2019,2019-06,102,https://www.science.org/toc/sciadv/5/6
5,7,2019,2019-07-05,121,https://www.science.org/toc/sciadv/5/7
5,8,2019,2019-08-02,112,https://www.science.org/toc/sciadv/5/8
5,9,2019,2019-09-06,102,https://www.science.org/toc/sciadv/5/9
5,10,2019,2019-10-11,127,https://www.science.org/toc/sciadv/5/10
5,11,2019,2019-11,106,https://www.science.org/toc/sciadv/5/11
5,12,2019,2019-12-06,91,https://www.science.org/toc/sciadv/5/12
6,1,2020,2020-01-03,28,https://www.science.org/toc/sciadv/6/1
6,2,2020,2020-01-10,29,https://www.science.org/toc/sciadv/6/2
6,3,2020,2020-01-17,30,https://www.science.org/toc/sciadv/6/3
6,4,2020,2020-01-24,30,https://www.science.org/toc/sciadv/6/4
6,5,2020,2020-01-31,30,https://www.science.org/toc/sciadv/6/5
