doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/1359-6462(95)00482-3,An internal friction peak caused by hydrogen in maraging steel,Makoto Usui; Shigeru Asano,1996,1,34,1,97-101,,journal-article,,https://doi.org/10.1016/1359-6462(95)00482-3
10.1016/1359-6462(95)00511-0,Diffusion of iron in a diluted α-Ti-Fe alloy,Hideo Nakajima; Kentaro Yusa; Yoshiaki Kondo,1996,1,34,2,249-253,,journal-article,,https://doi.org/10.1016/1359-6462(95)00511-0
10.1016/1359-6462(95)00500-5,The generation rate of dislocations during creep evaluated by the method of dynamic internal friction,H. Zhou; Q.P. Kong,1996,1,34,2,269-274,,journal-article,,https://doi.org/10.1016/1359-6462(95)00500-5
10.1016/1359-6462(95)00485-8,Grain boundary precipitation behaviors in an Fe-9.8Al-28.6Mn-0.8Si-1.0C alloy,C.Y. Chao; C.N. Hwang; T.F. Liu,1996,1,34,1,75-81,,journal-article,,https://doi.org/10.1016/1359-6462(95)00485-8
10.1016/1359-6462(95)00479-3,Strain ageing in heavily drawn eutectoid steel wires,P. Watté; J. Van Humbeeck; E. Aernoudt; I. Lefever,1996,1,34,1,89-95,,journal-article,,https://doi.org/10.1016/1359-6462(95)00479-3
10.1016/1359-6462(95)00493-9,Precipitation of the stable phases in Cu-Al-Ni shape memory alloys,V. Recarte; I. Hurtado; J. Herreros; M.L. Nó; J.San Juan,1996,1,34,2,255-260,,journal-article,,https://doi.org/10.1016/1359-6462(95)00493-9
10.1016/1359-6462(95)00501-3,Time dependent strain rate response on applied stress reductions in creep of a Cu-16Al solid solution alloy,V. Šustek; M. Pahutová; J. Èadek,1996,1,34,2,275-280,,journal-article,,https://doi.org/10.1016/1359-6462(95)00501-3
10.1016/1359-6462(95)00499-8,Stress distribution in a transversely loaded cross-shaped single fiber SCS-6/Ti-6Al-4V composite,S.G. Warrier; D.B. Gundel; B.S. Majumdar; D.B. Miracle,1996,1,34,2,293-299,,journal-article,,https://doi.org/10.1016/1359-6462(95)00499-8
10.1016/1359-6462(95)00478-5,Thermodynamic analysis of carbide precipitates in a niobium-zirconium-carbon alloy,D.M. Farkas; J.R. Groza; A.K. Mukherjee,1996,1,34,1,103-110,,journal-article,,https://doi.org/10.1016/1359-6462(95)00478-5
10.1016/1359-6462(95)00469-6,Milling of intermetallics and attempts at their ductilisation,D.G. Morris; M.A. Morris,1996,1,34,1,45-51,,journal-article,,https://doi.org/10.1016/1359-6462(95)00469-6
10.1016/1359-6462(95)00515-3,Wear behaviour of TiNi shape memory alloys,D.Y. Li,1996,1,34,2,195-200,,journal-article,,https://doi.org/10.1016/1359-6462(95)00515-3
10.1016/1359-6462(95)00517-x,Nature of slip during knoop indentation on “100” surface of NiAl,F. Ebrahimi; A. Gomez; T.G. Hicks,1996,1,34,2,337-342,,journal-article,,https://doi.org/10.1016/1359-6462(95)00517-x
10.1016/1359-6462(95)00488-2,Mechanical fatigue of Cu-based shape memory alloy after different heat treatment,L. Lu; M.O. Lai; A.S. Lim,1996,1,34,1,157-162,,journal-article,,https://doi.org/10.1016/1359-6462(95)00488-2
10.1016/1359-6462(95)00486-6,As-quenched microstructure of a Cu-24.8Mn-30.0Al alloy,K.C. Chu; S.C. Jeng; T.F. Liu,1996,1,34,1,83-87,,journal-article,,https://doi.org/10.1016/1359-6462(95)00486-6
10.1016/1359-6462(95)00512-9,The application of pettifor structure maps to ternary additions in Nb3Al-based alloys,L.S. Smith; D.K. Tappin; M. Aindow,1996,1,34,2,227-234,,journal-article,,https://doi.org/10.1016/1359-6462(95)00512-9
10.1016/1359-6462(95)00505-6,Fatigue crack propagation in Al-Li 8090 alloy at room (300K) and cryogenic (77K) temperatures,Ki Jong Park; Chong Soo Lee,1996,1,34,2,215-220,,journal-article,,https://doi.org/10.1016/1359-6462(95)00505-6
10.1016/1359-6462(95)00490-4,Identification of orthorhombic phase in a high-strength cupronickel,R.J. Grylls; C.D.S. Tuck; M.H. Loretto,1996,1,34,1,121-126,,journal-article,,https://doi.org/10.1016/1359-6462(95)00490-4
10.1016/1359-6462(95)00498-x,The two-way memory effect by the pre-strain training method in a 50Ti40Ni10Cu (at.%) alloy,G. Airoldi; T. Ranucci; G. Riva; A. Sciacca,1996,1,34,2,287-292,,journal-article,,https://doi.org/10.1016/1359-6462(95)00498-x
10.1016/1359-6462(95)00497-1,Mechanical behavior of carbon steels during continuous casting,Kyung-hyun Kim; Kyu Hwan Oh; Dong Nyung Lee,1996,1,34,2,301-307,,journal-article,,https://doi.org/10.1016/1359-6462(95)00497-1
10.1016/1359-6462(95)00470-x,Grain growth and secondary recrystallization in mechanically alloyed NiAl,S.C. Ur; P. Nash; G.T. Higgins,1996,1,34,1,53-59,,journal-article,,https://doi.org/10.1016/1359-6462(95)00470-x
10.1016/1359-6462(95)00514-5,Determination of vacancy concentration and defect structure in the B2 type NiAl β-phase alloys,M. Kogachi; T. Tanahashi; Y. Shirai; M. Yamaguchi,1996,1,34,2,243-248,,journal-article,,https://doi.org/10.1016/1359-6462(95)00514-5
10.1016/1359-6462(95)00507-2,Investigation of boron distribution in a TiAl-based alloy using particle-tracking,Zhongjie Pu; Kuang-Hsi Wu,1996,1,34,1,169-174,,journal-article,,https://doi.org/10.1016/1359-6462(95)00507-2
10.1016/1359-6462(95)00516-1,Cyclic deformation behavior of a co-axial symmetrical copper bicrystal,Y.M. Hu; Z.G. Wang; G.Y. Li,1996,1,34,2,331-336,,journal-article,,https://doi.org/10.1016/1359-6462(95)00516-1
10.1016/1359-6462(95)00495-5,On the role of chromium in minimizing room temperature hydrogen embrittlement in iron aluminides,R. Balasubramaniam,1996,1,34,1,127-133,,journal-article,,https://doi.org/10.1016/1359-6462(95)00495-5
10.1016/1359-6462(95)00494-7,Age hardening phenomena and microstructure of rapidly solidified Al-Ti-Si and Al-Cr-Y alloys,Bong-Sun You; Won-Wook Park,1996,1,34,2,201-205,,journal-article,,https://doi.org/10.1016/1359-6462(95)00494-7
10.1016/1359-6462(95)00510-2,Change of phase morpholigies during creep of CMSX-4 at 1253K,Z. Peng; U. Glatzel; T. Link; M. Feller-Kniepmeier,1996,1,34,2,221-226,,journal-article,,https://doi.org/10.1016/1359-6462(95)00510-2
10.1016/1359-6462(95)00489-0,Microstructure and bonding behavior of a new Hf-bearing interlayer alloy for single crystal nickel-base superalloy,Ruan Zhongci; Wang Shuncai; Zheng Yunrong,1996,1,34,1,163-168,,journal-article,,https://doi.org/10.1016/1359-6462(95)00489-0
10.1016/1359-6462(95)00483-1,Time-dependent nature of the athermal martensitic transformations in FeNi alloys,Tomoyuki Kakeshita; Takashi Fukuda; Toshio Saburi,1996,1,34,1,147-150,,journal-article,,https://doi.org/10.1016/1359-6462(95)00483-1
10.1016/1359-6462(95)00518-8,The effect of impurity on the deformation and fracture behavior in vanadium-20 wt.% titanium alloys,D.Y. Lyu; T.E. Bloomer; Ö. Ünal; J. Kameda,1996,1,34,2,317-323,,journal-article,,https://doi.org/10.1016/1359-6462(95)00518-8
10.1016/1359-6462(95)00513-7,The γ → α phase transformation in γ-based TiAl alloy,T. Kumagai; E. Abe; T. Kimura; M. Nakamura,1996,1,34,2,235-242,,journal-article,,https://doi.org/10.1016/1359-6462(95)00513-7
10.1016/1359-6462(95)00508-0,Microstructure investigation in B2-phased Ni-25Al-40Fe intermetallic compound,Chun-Huei Tsau; Jason Shian-Ching Jang; Jin-Wei Yeh,1996,1,34,2,325-330,,journal-article,,https://doi.org/10.1016/1359-6462(95)00508-0
10.1016/1359-6462(95)00492-0,Partition of tungsten in the matrix phase for liquid phase sintered 93%W-4.9%Ni-2.1%Fe,Y.H. Chiou; Y.S. Zu; S.T. Lin,1996,1,34,1,135-140,,journal-article,,https://doi.org/10.1016/1359-6462(95)00492-0
10.1016/1359-6462(95)00522-6,Development of coarse grain structures in a powder metallurgy nickel base superalloy N18,M. Soucail; M. Marty; H. Octor,1996,2,34,4,519-525,,journal-article,,https://doi.org/10.1016/1359-6462(95)00522-6
10.1016/s0956-716x(95)00538-7,Strength and toughness of semi-solid processed hypereutectic AlSi alloys,J.Valer Goñi; J.M. Rodriguez-Ibabe; J.J. Urcola,1996,2,34,3,483-489,,journal-article,,https://doi.org/10.1016/s0956-716x(95)00538-7
10.1016/s0956-716x(95)00523-x,Effect of dispersed pores on fracture toughness of HAp / PSZ composites,Yoko Yamada; Ryuzo Watanabe,1996,2,34,3,387-393,,journal-article,,https://doi.org/10.1016/s0956-716x(95)00523-x
10.1016/1359-6462(95)00554-4,γ′ Precipitate splitting in Nickel-based superalloys: A 3-D finite element analysis,A. Hazotte; T. Grosdidier; S. Denis,1996,2,34,4,601-608,,journal-article,,https://doi.org/10.1016/1359-6462(95)00554-4
10.1016/1359-6462(95)00491-2,Superabundant vacancies and enhanced diffusion in Pd-Rh alloys under high hydrogen pressures,K. Watanabe; N. Ōkuma; Y. Fukai; Y. Sakamoto; Y. Hayashi,1996,2,34,4,551-557,,journal-article,,https://doi.org/10.1016/1359-6462(95)00491-2
